Word:redound cos:-0.13818
Word:county cos:0.30895
Word:wohlmuth cos:-0.23380
Word:nature cos:0.27931
Word:sextant cos:-0.22062
Word:gentium cos:-0.20546
Word:suited cos:0.09086
Word:brafman cos:-0.13520
Word:unwrapping cos:-0.19715
Word:breakages cos:-0.37626
Word:09 cos:0.00938
Word:blundy cos:-0.38967
Word:sober cos:-0.06431
Word:crêpes cos:-0.31171
Word:387,000 cos:-0.41425
Word:38-percent cos:-0.34448
Word:temple cos:0.52802
Word:legacy cos:0.50520
Word:mtbe cos:-0.24890
Word:94,000 cos:-0.17677
Word:gyun cos:-0.28880
Word:know-how cos:-0.18138
Word:saidy cos:-0.20685
Word:29,000 cos:-0.12903
Word:forints cos:0.05125
Word:moshtarak cos:-0.10932
Word:plum cos:0.11388
Word:m113 cos:-0.21001
Word:ansara cos:-0.18315
Word:euro100 cos:-0.13880
Word:euro313 cos:-0.19083
Word:euro6 cos:-0.08747
Word:fragile cos:0.04597
Word:7,000 cos:0.08424
Word:piercefield cos:-0.27177
Word:spratlys cos:0.21169
Word:sandaled cos:-0.23127
Word:selldown cos:-0.21506
Word:gadonneix cos:-0.23892
Word:clamato cos:-0.12922
Word:conewago cos:-0.22481
Word:gazillion cos:-0.14105
Word:emerge cos:0.26261
Word:ceded cos:0.34542
Word:215,000 cos:-0.29484
Word:mordad cos:-0.23008
Word:2,700,000 cos:-0.43721
Word:hfd cos:-0.52441
Word:irr cos:-0.29720
Word:317.8 cos:-0.41160
Word:220,000 cos:-0.01248
Word:rachunek cos:-0.26940
Word:latenight cos:-0.31197
Word:4,885 cos:-0.35779
Word:bagatelles cos:-0.27960
Word:raisina cos:-0.26367
Word:monceau cos:-0.04583
Word:candied cos:-0.02046
Word:aratinga cos:-0.08918
Word:lyonnaise cos:-0.13251
Word:tikka cos:0.09764
Word:donleavy cos:-0.30311
Word:euro25 cos:-0.03622
Word:daulaire cos:-0.29246
Word:wonderful cos:0.34601
Word:vignerons cos:-0.37541
Word:cesp cos:-0.11612
Word:wynia cos:-0.31026
Word:4,000 cos:0.17490
Word:diminutives cos:-0.15946
Word:zellers cos:-0.03181
Word:kuch cos:-0.02517
Word:thorens cos:-0.11538
Word:reimbursable cos:-0.21819
Word:subtracting cos:-0.19049
Word:hadco cos:-0.29248
Word:sanctionable cos:-0.40056
Word:painful cos:0.20426
Word:delbruck cos:-0.40666
Word:carful cos:-0.39992
Word:quiller cos:-0.23361
Word:mousehunt cos:-0.53350
Word:halba cos:-0.15461
Word:euro250 cos:-0.09180
Word:snowcock cos:-0.10195
Word:martiche cos:-0.36705
Word:happy cos:0.43190
Word:221,000 cos:-0.31591
Word:dierdre cos:-0.43036
Word:1,323 cos:-0.50481
Word:solotaroff cos:-0.14242
Word:jeanneret cos:-0.29440
Word:800 cos:0.22174
Word:nfz cos:-0.32711
Word:vandehei cos:-0.08751
Word:pollards cos:-0.30390
Word:sizzled cos:-0.37953
Word:96,000 cos:-0.28601
Word:4.4-percent cos:-0.33112
Word:æthelwulf cos:0.32167
Word:287.50 cos:-0.15779
Word:evil cos:0.50841
Word:humility cos:0.23801
Word:383,000 cos:-0.25877
Word:sternal cos:-0.01427
Word:201.2 cos:-0.29322
Word:150k cos:-0.45344
Word:arboreum cos:-0.10211
Word:bartoszyce cos:-0.26964
Word:626,000 cos:-0.37593
Word:feel cos:0.32064
Word:cie. cos:-0.19435
Word:luvox cos:-0.23074
Word:sevigny cos:-0.04593
Word:385 cos:-0.07586
Word:l'observateur cos:-0.39766
Word:bakałarzewo cos:-0.38441
Word:gardens cos:0.30876
Word:revital cos:-0.34663
Word:218.4 cos:-0.37633
Word:694,000 cos:-0.42423
Word:buis cos:-0.37788
Word:tashan cos:-0.40564
Word:sakvarelidze cos:-0.61564
Word:tonje cos:-0.34289
Word:chunnam cos:-0.02312
Word:passbook cos:-0.21035
Word:ecklund cos:-0.42483
Word:58.25 cos:-0.21225
Word:stucki cos:-0.54346
Word:brackney cos:-0.25885
Word:hamayel cos:-0.47824
Word:19,000 cos:-0.11521
Word:revolt cos:0.45529
Word:25-percent cos:-0.11936
Word:news-miner cos:-0.23479
Word:akaphol cos:-0.49265
Word:awe cos:0.21712
Word:euro239 cos:-0.14625
Word:71,000 cos:-0.30155
Word:welcome cos:0.46125
Word:54-mile cos:-0.31153
Word:chelmer cos:-0.13569
Word:euro494 cos:-0.31466
Word:370,000 cos:-0.23309
Word:howto cos:-0.44522
Word:justiciable cos:-0.29909
Word:non-self-governing cos:-0.04167
Word:village cos:0.39042
Word:broda cos:-0.17949
Word:193.9 cos:-0.44607
Word:taku cos:-0.13425
Word:arpeggiator cos:-0.53036
Word:dinshaw cos:-0.12078
Word:koniecpol cos:-0.27206
Word:monaco cos:0.24613
Word:zeilin cos:-0.20978
Word:qualifing cos:-0.43064
Word:bissessar cos:-0.25017
Word:nyit cos:-0.21378
Word:oseary cos:-0.25003
Word:verts cos:-0.22350
Word:186.2 cos:-0.37221
Word:euro442 cos:-0.23391
Word:burnie cos:-0.27045
Word:311,000 cos:-0.33743
Word:phi cos:0.13190
Word:filial cos:0.12069
Word:leaguewide cos:-0.33429
Word:geotechnical cos:-0.25248
Word:covetable cos:-0.40650
Word:puhovski cos:-0.54474
Word:288,000 cos:-0.36712
Word:defever cos:-0.18567
Word:dobias cos:-0.34561
Word:battlefields cos:0.11531
Word:3950 cos:-0.26737
Word:40,300 cos:-0.47259
Word:mildewed cos:-0.46740
Word:joulwan cos:0.30799
Word:dreidels cos:-0.32074
Word:chevrons cos:-0.21992
Word:mladić cos:0.09134
Word:flexplay cos:-0.34094
Word:euro105 cos:-0.16898
Word:kerbs cos:-0.50817
Word:1,348 cos:-0.37512
Word:rolnik cos:-0.49145
Word:ninefold cos:-0.30165
Word:čitluk cos:-0.25586
Word:genealogical cos:-0.03200
Word:matea cos:-0.07612
Word:162,500 cos:-0.36042
Word:harkonen cos:-0.47414
Word:simatovic cos:-0.20155
Word:192.6 cos:-0.30629
Word:manoranjan cos:-0.48485
Word:płoty cos:-0.33888
Word:cabul cos:-0.25638
Word:sulfated cos:-0.27775
Word:hems cos:-0.12742
Word:ballmer cos:0.13866
Word:salar cos:-0.00637
Word:33-member cos:-0.30025
Word:hutomo cos:0.29999
Word:43-percent cos:-0.28818
Word:masques cos:-0.02794
Word:anthemic cos:-0.09241
Word:walkovers cos:-0.26101
Word:5,600 cos:-0.24921
Word:bazillion cos:-0.49704
Word:hobbies cos:0.08037
Word:thrashed cos:0.01067
Word:yandi cos:-0.03549
Word:3,288 cos:-0.36544
Word:hensher cos:0.11557
Word:jota cos:-0.05361
Word:howelsen cos:-0.30442
Word:closeouts cos:-0.52412
Word:3-cent cos:-0.14439
Word:tiven cos:-0.35114
Word:example cos:0.47828
Word:electronic/dance cos:-0.29992
Word:thornfield cos:-0.05718
Word:suitable cos:0.16515
Word:ashr cos:-0.40250
Word:captagon cos:0.03525
Word:touchiness cos:-0.36870
Word:315,000 cos:-0.26648
Word:piggybank cos:-0.49380
Word:beausejour cos:0.09308
Word:germond cos:-0.09666
Word:nordre cos:-0.18866
Word:mossy cos:-0.21654
Word:okot cos:-0.24642
Word:smylie cos:0.03810
Word:krua cos:-0.29284
Word:herzegovinian cos:-0.13038
Word:bq cos:-0.26116
Word:goldacre cos:-0.13733
Word:griffins cos:-0.08182
Word:5.4-percent cos:-0.36966
Word:overinflated cos:-0.34884
Word:user-space cos:-0.42942
Word:defense cos:0.30730
Word:withy cos:-0.01024
Word:186,000 cos:-0.27231
Word:everitt cos:-0.20654
Word:informationweek cos:-0.38154
Word:takalani cos:-0.19540
Word:euro200 cos:-0.11196
Word:re-recordings cos:-0.10434
Word:h-index cos:-0.11647
Word:framboise cos:-0.20797
Word:550 cos:0.11427
Word:623,000 cos:-0.34501
Word:13,500 cos:-0.18555
Word:wilshire cos:-0.09055
Word:06 cos:0.00559
Word:740 cos:-0.05766
Word:kungfu cos:0.11133
Word:henges cos:-0.30651
Word:browde cos:-0.32087
Word:384,000 cos:-0.31212
Word:worshipful cos:0.03650
Word:14,000,000 cos:-0.39395
Word:brodie cos:0.07017
Word:ways cos:0.31674
Word:clementino cos:-0.32467
Word:50.000 cos:-0.33153
Word:937 cos:-0.09091
Word:cintra cos:-0.06013
Word:322,000 cos:-0.33112
Word:nyamjav cos:-0.07614
Word:dobi cos:-0.33767
Word:mtnl cos:-0.00619
Word:gobat cos:-0.12760
Word:whitbourne cos:-0.28844
Word:bettman cos:0.00251
Word:cenex cos:-0.25861
Word:dhabyan cos:-0.23673
Word:meutya cos:-0.47770
Word:juq cos:-0.27057
Word:6,800 cos:-0.30445
Word:bohemian-moravian cos:-0.22881
Word:comma-shaped cos:-0.39711
Word:56,000 cos:-0.18021
Word:gruma cos:-0.13228
Word:irey cos:-0.21803
Word:elul cos:-0.20927
Word:old cos:0.52064
Word:refer cos:0.57326
Word:tortugas cos:-0.16226
Word:garretson cos:-0.36749
Word:preapproval cos:-0.48940
Word:hotels.com cos:-0.14360
Word:tizer cos:-0.39774
Word:195.3 cos:-0.36582
Word:208,000 cos:-0.37024
Word:357,000 cos:-0.41490
Word:harpercollins cos:0.02162
Word:4-16 cos:-0.36917
Word:betul cos:-0.13673
Word:37m cos:-0.43016
Word:4,278 cos:-0.35421
Word:aristocats cos:-0.34806
Word:blemished cos:-0.20072
Word:elbo cos:-0.12088
Word:etoiles cos:-0.32355
Word:euro245 cos:-0.14075
Word:76101-1870 cos:-0.08835
Word:xiahou cos:0.21059
Word:powergrid cos:-0.10509
Word:208.3 cos:-0.31759
Word:191,000 cos:-0.29249
Word:bogs cos:-0.14464
Word:atmospherically cos:-0.48235
Word:jacinto cos:0.09193
Word:boger cos:-0.16081
Word:phileleftheros cos:-0.31323
Word:liener cos:-0.29313
Word:cekcyn cos:-0.33281
Word:1.6-percent cos:-0.29510
Word:part cos:0.55326
Word:acropora cos:-0.31206
Word:o'connell cos:0.18189
Word:hoodoos cos:-0.36450
Word:48,400 cos:-0.45037
Word:sovereigns cos:0.15853
Word:650 cos:0.09932
Word:6,000 cos:0.14876
Word:unamid cos:-0.05492
Word:boler cos:-0.32596
Word:17,850 cos:-0.50080
Word:wireline cos:-0.08502
Word:misfires cos:-0.23893
Word:orma cos:-0.46021
Word:absentee cos:0.11169
Word:hamlet cos:0.31382
Word:sugarbeet cos:-0.27059
Word:pinged cos:-0.33160
Word:namadi cos:-0.07583
Word:16-digit cos:-0.16627
Word:quirot cos:-0.08967
Word:ext2 cos:-0.35187
Word:620 cos:-0.04678
Word:apy cos:-0.03853
Word:tremendously cos:0.04479
Word:romagnoli cos:-0.32113
Word:oakey cos:0.01143
Word:c.i.e. cos:-0.13315
Word:hkb cos:-0.41665
Word:420,000 cos:-0.17195
Word:gjelten cos:-0.45174
Word:17,000 cos:-0.00072
Word:ardua cos:-0.20975
Word:southwell cos:0.11513
Word:mamma.com cos:-0.17501
Word:11.000 cos:-0.47311
Word:monogamous cos:-0.09753
Word:depositors cos:0.05377
Word:des cos:0.02543
Word:161.9 cos:-0.39870
Word:10:36 cos:-0.37400
Word:12:01 cos:-0.22996
Word:119,000 cos:-0.34716
Word:cylindric cos:-0.40887
Word:172,500 cos:-0.37000
Word:articulate cos:0.01164
Word:143,000 cos:-0.21530
Word:thoroughgood cos:-0.11925
Word:rachlis cos:-0.30398
Word:gewe cos:-0.21182
Word:mnangagwa cos:-0.02957
Word:party-line cos:-0.38248
Word:14-percent cos:-0.25499
Word:hogged cos:-0.28318
Word:goodenow cos:-0.08647
Word:donelon cos:-0.27802
Word:kreinberg cos:-0.22199
Word:color cos:0.18033
Word:ivon cos:-0.24137
Word:khoisan cos:0.04010
Word:930 cos:-0.03741
Word:miniere cos:-0.28122
Word:handbill cos:-0.32464
Word:miscount cos:-0.40708
Word:safta cos:-0.21571
Word:fleischer cos:0.11401
Word:country-influenced cos:-0.47230
Word:189.9 cos:-0.37278
Word:mezni cos:-0.29697
Word:mois cos:-0.29220
Word:11,200 cos:-0.31876
Word:lucretius cos:0.07887
Word:rockhopper cos:-0.00144
Word:a&r cos:-0.02668
Word:http://advisories.nytsyn.com cos:-0.19667
Word:389,000 cos:-0.31787
Word:5-9 cos:-0.10610
Word:mercers cos:-0.01950
Word:cardamom cos:0.01410
Word:tant cos:-0.33685
Word:neither cos:0.49389
Word:arakis cos:-0.19793
Word:988,000 cos:-0.34192
Word:nistelrooij cos:-0.38768
Word:opensuse cos:-0.33640
Word:feldhahn cos:-0.33659
Word:fost cos:0.02029
Word:mangakis cos:-0.24065
Word:euro270 cos:-0.10377
Word:trashier cos:-0.34748
Word:08 cos:0.07595
Word:treet cos:-0.18780
Word:complementary cos:-0.09939
Word:euro530 cos:-0.12989
Word:u.s.-traded cos:-0.03241
Word:inshore cos:-0.27450
Word:chamchi cos:-0.49177
Word:vivat cos:-0.09704
Word:asb cos:0.05828
Word:end cos:0.52209
Word:ecotourist cos:-0.21357
Word:madder cos:-0.01355
Word:enormous cos:0.31778
Word:iom cos:-0.21350
Word:teneycke cos:-0.31579
Word:euro278 cos:-0.24006
Word:boggling cos:-0.22007
Word:bullivant cos:-0.33283
Word:giżycko cos:-0.07370
Word:gerbrandt cos:-0.31888
Word:habitant cos:-0.43497
Word:pdci cos:0.07496
Word:36-percent cos:-0.38694
Word:misgiving cos:-0.25918
Word:bt500 cos:-0.26936
Word:zhangke cos:-0.15671
Word:1,223 cos:-0.42500
Word:trogons cos:-0.10135
Word:euro54 cos:-0.07377
Word:sturt cos:-0.01179
Word:euro9 cos:-0.09654
Word:350.5 cos:-0.42876
Word:eusebian cos:-0.03803
Word:500-horsepower cos:-0.32254
Word:700 cos:0.18644
Word:germane cos:-0.26168
Word:sumantri cos:-0.43081
Word:foreningen cos:-0.36394
Word:westgarth cos:-0.23163
Word:3,689 cos:-0.54899
Word:sagittal cos:-0.22143
Word:audiotapes cos:-0.00598
Word:yousra cos:-0.12224
Word:landholdings cos:0.00488
Word:eletricas cos:-0.14000
Word:very cos:0.39542
Word:wenying cos:-0.16988
Word:parathion cos:-0.46578
Word:janitors cos:-0.28966
Word:450 cos:0.11224
Word:cocaleros cos:-0.33964
Word:595 cos:-0.13804
Word:44-yarder cos:-0.36487
Word:35,900 cos:-0.36263
Word:192.4 cos:-0.46252
Word:mandorla cos:-0.26921
Word:280,000 cos:-0.10589
Word:tourville cos:-0.25480
Word:ubaydi cos:-0.16960
Word:saanei cos:-0.13018
Word:hajaj cos:-0.19411
Word:cheeks cos:0.06536
Word:154,000 cos:-0.25921
Word:owais cos:0.15867
Word:37,600 cos:-0.50332
Word:hadoop cos:-0.36428
Word:plekhanov cos:-0.20408
Word:sconce cos:-0.28291
Word:graphix cos:-0.52659
Word:quinta cos:-0.07097
Word:kreuzer cos:-0.33123
Word:grateful cos:0.34123
Word:770,000 cos:-0.13543
Word:dayside cos:-0.36393
Word:hitlerism cos:-0.20974
Word:minimal cos:0.10403
Word:3,100 cos:-0.21398
Word:reticles cos:-0.36634
Word:bettez cos:-0.35903
Word:ferree cos:-0.19525
Word:newpapers cos:-0.45663
Word:4,500 cos:-0.02510
Word:spratly cos:0.20217
Word:janów cos:-0.07881
Word:yol cos:-0.12623
Word:rochell cos:-0.09462
Word:kinneil cos:-0.12273
Word:stranczek cos:-0.07830
Word:2,300 cos:-0.04794
Word:sportin cos:0.06623
Word:ch1 cos:-0.33246
Word:judean cos:0.14889
Word:hakusho cos:-0.10722
Word:euro155 cos:-0.19638
Word:stamkos cos:-0.09335
Word:turnoffs cos:-0.40891
Word:vachagayev cos:-0.53776
Word:nepenthes cos:-0.00741
Word:lubawa cos:-0.37989
Word:arabinda cos:-0.28810
Word:3067 cos:-0.20958
Word:counterchanged cos:-0.36577
Word:modelo cos:-0.09366
Word:always cos:0.47621
Word:minni cos:-0.04593
Word:waak cos:-0.37501
Word:35000 cos:-0.38166
Word:80,000,000 cos:-0.39928
Word:tionne cos:-0.27999
Word:hamburg cos:0.15076
Word:novgorod cos:0.21418
Word:incunabula cos:-0.00269
Word:nevado cos:-0.30774
Word:32,000 cos:-0.04457
Word:loved cos:0.47280
Word:dairi cos:-0.06711
Word:virosa cos:-0.25338
Word:benoni cos:-0.20656
Word:settlements cos:0.19033
Word:chp cos:-0.09338
Word:couchepin cos:-0.06945
Word:142,000 cos:-0.20407
Word:2004-5 cos:-0.22478
Word:spathe cos:-0.34205
Word:baharampur cos:-0.24016
Word:rahv cos:0.00489
Word:lunda cos:0.11676
Word:laguesma cos:-0.30578
Word:starting cos:0.38994
Word:259.5 cos:-0.46780
Word:unduplicated cos:-0.38927
Word:coinsurance cos:-0.36731
Word:548 cos:-0.16888
Word:successor cos:0.64586
Word:moki cos:-0.33602
Word:hovnanian cos:-0.04237
Word:38,800 cos:-0.44359
Word:drapers cos:-0.07549
Word:16,350 cos:-0.48598
Word:helpful cos:0.04779
Word:vogtei cos:-0.17983
Word:oolite cos:-0.15833
Word:87,600 cos:-0.32314
Word:vsnl cos:-0.01103
Word:lullabies cos:0.05791
Word:euro53 cos:-0.18928
Word:lak cos:0.01686
Word:2,587 cos:-0.41369
Word:demutualization cos:-0.25412
Word:non-random cos:-0.46774
Word:belligerency cos:-0.25252
Word:calving cos:-0.25740
Word:chandlers cos:-0.15015
Word:gerbeau cos:-0.27548
Word:headcount cos:-0.34121
Word:indeed cos:0.49072
Word:iftikar cos:-0.28827
Word:rin cos:0.12873
Word:275 cos:-0.01358
Word:cibolo cos:-0.44699
Word:confederated cos:0.02434
Word:spuds cos:-0.08373
Word:gołdap cos:-0.13106
Word:comfort cos:0.38148
Word:12-13 cos:-0.15736
Word:lifeflight cos:-0.16777
Word:crecion cos:-0.37415
Word:kleptocracy cos:-0.25796
Word:eye-ring cos:-0.37134
Word:edwardsiana cos:-0.11620
Word:clanging cos:0.02504
Word:7,600 cos:-0.27842
Word:ses cos:-0.04800
Word:750 cos:0.12967
Word:pct. cos:-0.40887
Word:hippolyta cos:0.28826
Word:625 cos:-0.08124
Word:beanal cos:-0.29748
Word:frança cos:-0.25959
Word:177,000 cos:-0.32288
Word:alginate cos:-0.25441
Word:186.3 cos:-0.23895
Word:first-served cos:-0.53665
Word:uncomfortable cos:0.10649
Word:badio cos:-0.12201
Word:128,000 cos:-0.17551
Word:wolfowitz cos:0.23491
Word:coquille cos:-0.11430
Word:romanov cos:0.37101
Word:sakhr cos:-0.25171
Word:celi cos:-0.43753
Word:constructorul cos:-0.43942
Word:landscapes cos:0.07977
Word:370 cos:-0.02081
Word:four-hundred cos:-0.46939
Word:digressive cos:-0.38208
Word:207,000 cos:-0.37719
Word:reconstruction cos:0.21084
Word:avait cos:-0.29745
Word:2,424 cos:-0.50090
Word:nganro cos:-0.42906
Word:euro188 cos:-0.07598
Word:68,000 cos:-0.06077
Word:metherell cos:-0.29572
Word:320,000 cos:-0.11783
Word:lappas cos:-0.30071
Word:ocker cos:-0.19259
Word:580 cos:-0.04166
Word:eyedea cos:-0.13500
Word:sergeyev cos:0.07253
Word:splits cos:-0.00264
Word:885,000 cos:-0.30441
Word:aijaz cos:-0.12193
Word:10g cos:-0.31920
Word:sianipar cos:-0.48820
Word:gunfight cos:0.11589
Word:prenup cos:-0.41177
Word:tithing cos:-0.20546
Word:xinning cos:-0.18279
Word:mosasaurs cos:-0.13351
Word:kurri cos:-0.29332
Word:tuncer cos:-0.32061
Word:vibrated cos:-0.20862
Word:albirex cos:-0.17838
Word:lageman cos:-0.22839
Word:xslt cos:-0.29459
Word:eighth-place cos:-0.44603
Word:phay cos:-0.33260
Word:marlan cos:-0.49702
Word:conasupo cos:-0.27690
Word:rockledge cos:-0.26010
Word:6.0-liter cos:-0.17887
Word:28-percent cos:-0.31836
Word:jerusalem cos:0.37356
Word:houllier cos:0.08142
Word:1,639 cos:-0.39151
Word:ultra-thin cos:-0.42541
Word:2,372 cos:-0.50843
Word:persada cos:-0.10413
Word:posehn cos:-0.28249
Word:116,500 cos:-0.51151
Word:178.9 cos:-0.35353
Word:210.4 cos:-0.32641
Word:calmest cos:0.00483
Word:swap cos:0.12427
Word:halldór cos:-0.27576
Word:reflexion cos:-0.47754
Word:303.8 cos:-0.35443
Word:1.184 cos:-0.31049
Word:idul cos:0.06358
Word:schaueble cos:-0.17733
Word:luković cos:-0.15667
Word:203.7 cos:-0.29077
Word:kolā-ye cos:0.08383
Word:shares cos:0.23857
Word:colbourne cos:-0.40025
Word:sister-station cos:-0.49308
Word:booksurge cos:-0.43035
Word:co-option cos:-0.27414
Word:kamardeen cos:-0.15249
Word:lonhro cos:-0.24567
Word:201.4 cos:-0.40851
Word:296.6 cos:-0.19770
Word:garamantes cos:-0.43133
Word:uncoerced cos:-0.43896
Word:pharaohs cos:0.42139
Word:homeomorphisms cos:-0.36391
Word:hesse-nassau cos:-0.00435
Word:six-sided cos:-0.34486
Word:151.4 cos:-0.35814
Word:pre-partition cos:0.02908
Word:calta cos:-0.29118
Word:6,376 cos:-0.43532
Word:presaged cos:-0.13727
Word:offsetting cos:-0.26917
Word:redraw cos:-0.06143
Word:jfranco cos:0.08935
Word:borowczyk cos:-0.14746
Word:42-hour cos:-0.42573
Word:ppd+g cos:-0.09145
Word:gstreamer cos:-0.37105
Word:knorozov cos:-0.23245
Word:11-yarder cos:-0.37711
Word:3,222 cos:-0.44474
Word:1.4726 cos:-0.25326
Word:muradova cos:-0.43257
Word:nasau cos:-0.20596
Word:gajoen cos:-0.36724
Word:177.7 cos:-0.25253
Word:japanese-occupied cos:-0.03872
Word:toliara cos:0.09357
Word:178.6 cos:-0.12184
Word:propounding cos:-0.27982
Word:153.1 cos:-0.31230
Word:personalistic cos:-0.32126
Word:fandel cos:0.06310
Word:contagious cos:0.05563
Word:dhugal cos:-0.09977
Word:gallaccio cos:-0.31881
Word:encumbered cos:-0.13116
Word:kushan cos:0.35273
Word:36th cos:0.08000
Word:86.81 cos:-0.32655
Word:rusian cos:-0.38508
Word:767-300 cos:-0.11758
Word:berlins cos:-0.23292
Word:shaath cos:0.00692
Word:936,000 cos:-0.23652
Word:2013-14 cos:-0.16809
Word:yabushita cos:-0.16904
Word:upl cos:-0.36400
Word:braginsky cos:-0.43214
Word:trimming cos:-0.20262
Word:wigginton cos:0.04508
Word:174.4 cos:-0.36556
Word:cjohnsonglobe.com cos:-0.18159
Word:scenographic cos:-0.50190
Word:sobha cos:-0.05810
Word:ambushes cos:-0.08305
Word:burglaries cos:-0.19152
Word:trebled cos:-0.17795
Word:saliers cos:-0.14111
Word:fivb cos:-0.07939
Word:akshay cos:0.13558
Word:prljavo cos:-0.40928
Word:122,000 cos:-0.26035
Word:dimensionally cos:-0.21750
Word:cutover cos:-0.21743
Word:qorvis cos:-0.28155
Word:gastronomique cos:-0.31601
Word:juggling cos:-0.10490
Word:58,500 cos:-0.33312
Word:exacto cos:-0.43751
Word:1.1800 cos:-0.30574
Word:well-financed cos:-0.43774
Word:ismet cos:-0.12426
Word:51st cos:0.09333
Word:gaw cos:-0.17781
Word:bloodiest cos:0.18069
Word:baronetcy cos:0.31772
Word:48th cos:0.05374
Word:elvio cos:-0.42151
Word:162.3 cos:-0.32980
Word:biopure cos:-0.14944
Word:censorship cos:0.23373
Word:lesea cos:-0.26355
Word:fine-art cos:-0.30321
Word:136.0 cos:-0.37960
Word:54th cos:0.08577
Word:bt30 cos:-0.33610
Word:on-ground cos:-0.51101
Word:17.25 cos:-0.18745
Word:u.n.-proposed cos:-0.43590
Word:brandwood cos:-0.40489
Word:bidzina cos:-0.30789
Word:lookin cos:-0.02708
Word:auspicious cos:0.21425
Word:tintype cos:-0.31035
Word:ninurta cos:0.09999
Word:164.5 cos:-0.21214
Word:1.442 cos:-0.39754
Word:airboat cos:-0.27617
Word:seagram cos:0.19010
Word:évariste cos:-0.38861
Word:newsweeklies cos:-0.40326
Word:stragglers cos:-0.08751
Word:imbedding cos:-0.36405
Word:beeks cos:-0.31524
Word:pleshette cos:-0.05459
Word:omniture cos:-0.35210
Word:pallava cos:0.41115
Word:buying cos:0.26040
Word:nalo cos:-0.31165
Word:3,708 cos:-0.34278
Word:volbeat cos:-0.29236
Word:mynardo cos:-0.21815
Word:elution cos:-0.24819
Word:mid-to cos:0.04867
Word:chasing cos:0.14193
Word:9,000-member cos:-0.35369
Word:adeline cos:-0.05750
Word:then-recent cos:-0.18557
Word:juggle cos:-0.05970
Word:3,802 cos:-0.46724
Word:fish cos:0.19312
Word:pollinate cos:-0.02672
Word:goldings cos:-0.14047
Word:entendres cos:-0.15408
Word:spynie cos:0.06937
Word:bju cos:-0.28004
Word:wordlist cos:-0.41511
Word:youth-led cos:-0.52823
Word:noval cos:-0.16450
Word:germs cos:-0.01569
Word:192.3 cos:-0.30398
Word:lohar cos:-0.07509
Word:shawe-taylor cos:-0.16628
Word:dvds cos:0.14028
Word:11-car cos:-0.38333
Word:derived cos:0.34294
Word:country-tinged cos:-0.32505
Word:289.5 cos:-0.25207
Word:subhas cos:-0.00456
Word:149,000 cos:-0.31566
Word:2,872 cos:-0.53864
Word:109.61 cos:-0.30184
Word:państwowe cos:-0.27174
Word:7,500,000 cos:-0.33166
Word:62.14 cos:-0.42416
Word:kejora cos:-0.23249
Word:5:33 cos:-0.27431
Word:kroners cos:-0.19161
Word:unmastered cos:-0.29451
Word:lizarazu cos:-0.09763
Word:171st cos:-0.33381
Word:fazeli cos:-0.37773
Word:manzanero cos:-0.05237
Word:delabar cos:-0.51362
Word:azzarello cos:-0.22748
Word:bowersox cos:0.06674
Word:wee cos:0.32779
Word:cabalistic cos:-0.20038
Word:150.6 cos:-0.30074
Word:frontier cos:0.32207
Word:zaluska cos:-0.09838
Word:porte-cochere cos:-0.45086
Word:beatallica cos:-0.31887
Word:éva cos:-0.20477
Word:181.4 cos:-0.28216
Word:1.3170 cos:-0.22703
Word:opposers cos:-0.31462
Word:201.7 cos:-0.31943
Word:constitution cos:0.36787
Word:uppland cos:0.11981
Word:bt3 cos:-0.24111
Word:fraudulent cos:-0.01798
Word:42nd cos:0.11669
Word:137.1 cos:-0.22446
Word:cricket cos:0.42096
Word:vigier cos:-0.45988
Word:trilobite cos:0.13581
Word:riesenfeld cos:-0.29054
Word:m.s.w. cos:-0.42894
Word:unifiers cos:-0.15390
Word:stsmith@globe.com cos:-0.08251
Word:239.6 cos:-0.35774
Word:markus cos:-0.03562
Word:kpf cos:-0.36771
Word:pints cos:-0.01216
Word:222.3 cos:-0.35073
Word:oh-6 cos:-0.19880
Word:o’kane cos:-0.31587
Word:ogrizovic cos:-0.21357
Word:āgh cos:0.05025
Word:257.2 cos:-0.31374
Word:carrefour cos:0.03688
Word:spin-spin cos:-0.24722
Word:76.34 cos:-0.52538
Word:celerier cos:-0.32526
Word:149.6 cos:-0.35486
Word:eyewash cos:-0.41838
Word:149.2 cos:-0.36416
Word:212.8 cos:-0.37521
Word:gnustep cos:-0.36544
Word:sumdac cos:-0.23652
Word:shippers cos:-0.01516
Word:child-rearing cos:-0.11908
Word:tmbg cos:-0.29862
Word:penalized cos:-0.22449
Word:meals cos:0.19661
Word:w/o cos:-0.27101
Word:bahamani cos:0.13586
Word:103d cos:-0.21164
Word:rakotonandrasana cos:-0.17857
Word:4,862 cos:-0.47266
Word:6,545 cos:-0.49561
Word:chiloé cos:0.06818
Word:16,384 cos:-0.27494
Word:hadwin cos:-0.35194
Word:racking cos:-0.14944
Word:grandad cos:0.02768
Word:kdfc cos:-0.16627
Word:1.138 cos:-0.29420
Word:tehuelche cos:-0.13771
Word:3:55 cos:-0.15179
Word:essentialist cos:-0.38608
Word:letsie cos:0.56187
Word:ox-cart cos:-0.44098
Word:lynette cos:-0.11630
Word:39,900 cos:-0.46084
Word:socal cos:-0.18528
Word:defaulting cos:-0.15194
Word:gluing cos:-0.29918
