Word:deni cos:-0.46001
Word:skimpier cos:-0.02012
Word:talaash cos:-0.12180
Word:a-3 cos:-0.16953
Word:changuinola cos:-0.38316
Word:introgression cos:-0.06360
Word:grantees cos:-0.29615
Word:thales cos:-0.23502
Word:banisadr cos:-0.43776
Word:70-kg cos:-0.02199
Word:gasper cos:-0.26176
Word:jomar cos:-0.16804
Word:abas cos:-0.01296
Word:giftedness cos:-0.12275
Word:killeagh cos:-0.35937
Word:manau cos:-0.25037
Word:120-130 cos:-0.40799
Word:lynceus cos:-0.30143
Word:relection cos:-0.31545
Word:shimmari cos:-0.20175
Word:wysoka cos:-0.22104
Word:4,304 cos:-0.31772
Word:uachtaráin cos:-0.33002
Word:tos cos:-0.07227
Word:vicuñas cos:-0.30767
Word:studivz cos:-0.38004
Word:loess cos:-0.09225
Word:skeena cos:-0.03258
Word:sempati cos:-0.21359
Word:humbler cos:-0.17651
Word:nanocellulose cos:-0.30872
Word:bushranging cos:-0.20084
Word:tranquille cos:-0.06006
Word:walderslade cos:-0.06799
Word:sager cos:-0.16509
Word:wilberg cos:-0.11279
Word:colac cos:-0.07219
Word:khuong cos:-0.26883
Word:gnomic cos:-0.04828
Word:hydrogels cos:-0.18968
Word:mcgarity cos:-0.19507
Word:luxuriousness cos:-0.30931
Word:iconographically cos:-0.10298
Word:western-oriented cos:-0.39972
Word:odium cos:-0.18185
Word:samashki cos:-0.12011
Word:mccammon cos:-0.41803
Word:portlanders cos:-0.18623
Word:intrahepatic cos:-0.18011
Word:preus cos:-0.53572
Word:ergotamine cos:-0.26243
Word:israel-palestine cos:-0.22519
Word:betteridge cos:-0.38454
Word:cyberview cos:-0.30335
Word:rodongs cos:-0.20131
Word:tiya cos:-0.28476
Word:dunnart cos:-0.01825
Word:experiencers cos:-0.15989
Word:webct cos:-0.21753
Word:cascione cos:-0.25675
Word:ethylbenzene cos:-0.24691
Word:todoroki cos:-0.17324
Word:statton cos:-0.28833
Word:jagirdars cos:-0.22048
Word:phosphorus-containing cos:-0.14444
Word:nbd2 cos:-0.10166
Word:cesr cos:-0.23397
Word:hydel cos:-0.30383
Word:2005-07 cos:-0.43504
Word:velas cos:-0.30659
Word:fluphenazine cos:-0.10919
Word:colour-coding cos:-0.30456
Word:cosmonautics cos:-0.22570
Word:grumped cos:-0.24774
Word:polyelectrolytes cos:-0.33458
Word:direct-injection cos:-0.05501
Word:penas cos:-0.13256
Word:retrained cos:-0.04331
Word:rehear cos:-0.10966
Word:psychostimulants cos:-0.23025
Word:uruk-hai cos:-0.09686
Word:tyrolese cos:-0.15647
Word:acused cos:-0.25306
Word:baitarani cos:-0.23725
Word:lamorna cos:-0.03599
Word:indocement cos:-0.25311
Word:millenary cos:-0.30275
Word:wyszynski cos:-0.42942
Word:necrophilia cos:-0.03291
Word:dotting cos:-0.00667
Word:bayoumi cos:-0.09767
Word:hendred cos:-0.45069
Word:hadaway cos:-0.30809
Word:mansar cos:-0.14595
Word:807 cos:-0.26263
Word:unisys cos:-0.17342
Word:chotanagpur cos:-0.32631
Word:vads cos:-0.26629
Word:silverleaf cos:-0.14239
Word:elp cos:-0.18659
Word:brownish-orange cos:-0.19560
Word:suitemate cos:-0.21446
Word:industrial-scale cos:-0.17931
Word:marinemax cos:-0.07519
Word:malinovsky cos:-0.40104
Word:lower-grade cos:-0.19119
Word:deschênes cos:-0.28186
Word:kh6 cos:-0.17310
Word:nidd cos:-0.12630
Word:isomer cos:-0.16705
Word:rabita cos:-0.19493
Word:tangkhuls cos:-0.32804
Word:stabilising cos:-0.19338
Word:boniva cos:-0.33659
Word:kpd cos:-0.12682
Word:scyld cos:-0.18489
Word:wassong cos:-0.23575
Word:ayittey cos:-0.29460
Word:del-fi cos:-0.16096
Word:kct cos:-0.16609
Word:tursday cos:-0.22253
Word:5-foot-11-inch cos:-0.13003
Word:toc cos:-0.23112
Word:f.o. cos:-0.12406
Word:shamkhal cos:-0.33178
Word:emishi cos:-0.18572
Word:armorials cos:-0.28204
Word:kyuss cos:-0.00634
Word:bubi cos:-0.03458
Word:pyramiden cos:-0.40044
Word:kubb cos:-0.25320
Word:thralls cos:-0.06643
Word:piterman cos:-0.28782
Word:cherubino cos:-0.01263
Word:namdeb cos:-0.24055
Word:asphaltum cos:-0.27367
Word:pakhtun cos:-0.07093
Word:biculturalism cos:-0.10351
Word:d'hooghe cos:-0.16749
Word:taihang cos:-0.13707
Word:well-publicized cos:-0.16922
Word:alaotra cos:-0.11161
Word:albas cos:-0.24066
Word:symmes cos:-0.30204
Word:imei cos:-0.24139
Word:permesta cos:-0.22117
Word:blackballing cos:-0.34726
Word:chemainus cos:-0.25752
Word:42.195 cos:-0.08822
Word:bunya cos:-0.04581
Word:syngman cos:-0.19527
Word:pcf cos:-0.13696
Word:menkaure cos:-0.12386
Word:assos cos:-0.52910
Word:geochemists cos:-0.32850
Word:trickiness cos:-0.31612
Word:110-mile cos:-0.07810
Word:manasarovar cos:-0.29235
Word:moodyz cos:-0.09168
Word:durai cos:-0.22565
Word:ballyroan cos:-0.38118
Word:maliksi cos:-0.34852
Word:kd3 cos:-0.31606
Word:otaka cos:-0.45380
Word:holiday-makers cos:-0.26821
Word:simputer cos:-0.10194
Word:teffont cos:-0.48940
Word:3.8-liter cos:-0.00784
Word:dorotea cos:-0.13473
Word:3.2-liter cos:-0.00196
Word:isohunt cos:-0.31905
Word:wappocomo cos:-0.27410
Word:santeri cos:-0.39721
Word:74-foot cos:-0.15324
Word:theanine cos:-0.25246
Word:rahway cos:-0.12113
Word:kimberlites cos:-0.08746
Word:east-coast cos:-0.20701
Word:tanba cos:-0.24232
Word:grendon cos:-0.28957
Word:pro-secession cos:-0.25830
Word:demonetization cos:-0.18848
Word:recognitions cos:-0.16129
Word:hungária cos:-0.19029
Word:yapese cos:-0.16328
Word:chongchon cos:-0.21936
Word:pfos cos:-0.23567
Word:rufina cos:-0.15401
Word:curra cos:-0.32802
Word:mistassini cos:-0.07527
Word:schedler cos:-0.15727
Word:mulgrew cos:-0.00079
Word:defossez cos:-0.37592
Word:ignimbrites cos:-0.37833
Word:shivalik cos:-0.00049
Word:lakhubhai cos:-0.12442
Word:kerckhoff cos:-0.31906
Word:creasey cos:-0.02904
Word:bloodiness cos:-0.30223
Word:unresponsiveness cos:-0.35537
Word:tongli cos:-0.39075
Word:lanvin cos:-0.17845
Word:tomoaki cos:-0.27610
Word:gelbard cos:-0.35480
Word:diphthong cos:-0.06022
Word:pteridaceae cos:-0.02860
Word:125-word cos:-0.10949
Word:3.4-liter cos:-0.04149
Word:chakmas cos:-0.15240
Word:sba cos:-0.05516
Word:frasure cos:-0.41481
Word:plog cos:-0.29744
Word:24-million cos:-0.12508
Word:walen cos:-0.20125
Word:razzle cos:-0.04314
Word:wakana cos:-0.29801
Word:shoichiro cos:-0.01233
Word:nahim cos:-0.27504
Word:ankle-length cos:-0.02447
Word:takamori cos:-0.27714
Word:hillshire cos:-0.06153
Word:dubsdread cos:-0.16760
Word:onobrakpeya cos:-0.37277
Word:poundbury cos:-0.16352
Word:trinidadian cos:-0.01865
Word:mome cos:-0.12896
Word:2,600-year cos:-0.08899
Word:reincarnations cos:-0.19534
Word:baluba cos:-0.25161
Word:castlemartyr cos:-0.38940
Word:burster cos:-0.09133
Word:reactos cos:-0.29929
Word:achatz cos:-0.14991
Word:175-mile cos:-0.16393
Word:ciano cos:-0.35178
Word:elnitiarta cos:-0.28980
Word:jianshe cos:-0.09327
Word:demarcus cos:-0.09822
Word:lysa cos:-0.17837
Word:regel cos:-0.21995
Word:shanyue cos:-0.11904
Word:clagett cos:-0.05791
Word:oto-manguean cos:-0.09873
Word:checkerspot cos:-0.06187
Word:absconding cos:-0.02651
Word:2.7-liter cos:-0.00916
Word:finos cos:-0.20872
Word:re-founding cos:-0.30100
Word:ndugu cos:-0.02097
Word:karpova cos:-0.23517
Word:frothed cos:-0.04374
Word:tarquin cos:-0.22374
Word:kassandra cos:-0.20345
Word:kahanek cos:-0.15477
Word:mileševa cos:-0.28289
Word:drama/comedy cos:-0.18834
Word:disposability cos:-0.27482
Word:tenctonese cos:-0.22383
Word:deconstructions cos:-0.19842
Word:wagster cos:-0.04558
Word:hawthis cos:-0.06017
Word:extra-pair cos:-0.22170
Word:gaspipe cos:-0.14101
Word:rostami cos:-0.39271
Word:1-selling cos:-0.07550
Word:perente cos:-0.25879
Word:globalstar cos:-0.28405
Word:havilah cos:-0.34534
Word:boding cos:-0.08000
Word:non-māori cos:-0.24578
Word:radagast cos:-0.12392
Word:nahuas cos:-0.37070
Word:89-minute cos:-0.25325
Word:algonquian-speaking cos:-0.06262
Word:kilshaw cos:-0.05135
Word:rielly cos:-0.19851
Word:peche cos:-0.19678
Word:e.o. cos:-0.05132
Word:vids cos:-0.04628
Word:slighter cos:-0.11777
Word:mcnicholas cos:-0.22223
Word:eringer cos:-0.45922
Word:rikimaru cos:-0.30081
Word:shirow cos:-0.27756
Word:shangrila cos:-0.04297
Word:pillared cos:-0.16796
Word:1879-1883 cos:-0.18763
Word:dolerite cos:-0.22359
Word:oshika cos:-0.19177
Word:arakan cos:-0.07624
Word:mariinsky cos:-0.21710
Word:qemal cos:-0.25488
Word:lessees cos:-0.25104
Word:ghanimat cos:-0.13543
Word:userkaf cos:-0.27808
Word:strohmeyer cos:-0.16843
Word:meowth cos:-0.13253
Word:alyce cos:-0.13251
Word:ifosfamide cos:-0.27903
Word:castner cos:-0.32688
Word:malayo-polynesian cos:-0.05664
Word:selah cos:-0.19513
Word:cut-throat cos:-0.05006
Word:richebourg cos:-0.44718
Word:hadza cos:-0.06630
Word:underfinancing cos:-0.35954
Word:1,075 cos:-0.23909
Word:cyllene cos:-0.23935
Word:encroachers cos:-0.27130
Word:anticev cos:-0.24677
Word:unkovic cos:-0.55329
Word:cystatin cos:-0.14757
Word:paika cos:-0.30779
Word:wide-eyed cos:-0.05184
Word:bayombong cos:-0.46146
Word:haspel cos:-0.25633
Word:yamatai cos:-0.25671
Word:orani cos:-0.36371
Word:ossis cos:-0.27903
Word:1939-1940 cos:-0.15852
Word:bednets cos:-0.00813
Word:splm-n cos:-0.30550
Word:santals cos:-0.31229
Word:langalibalele cos:-0.22186
Word:janex cos:-0.46226
Word:nakahara cos:-0.11378
Word:clytie cos:-0.22597
Word:ilminster cos:-0.35454
Word:klu cos:-0.15104
Word:spectres cos:-0.23775
Word:photoelectron cos:-0.26424
Word:bluespotted cos:-0.09929
Word:clubbiness cos:-0.16545
Word:pedants cos:-0.13527
Word:overpricing cos:-0.18479
Word:eb/streymur cos:-0.27770
Word:enshrinees cos:-0.24040
Word:hatchings cos:-0.20469
Word:halloran cos:-0.06009
Word:misdiagnoses cos:-0.15894
Word:dnmt1 cos:-0.18933
Word:heffalumps cos:-0.12291
Word:everette cos:-0.07230
Word:warmongering cos:-0.16066
Word:chan-wook cos:-0.09863
Word:divorcees cos:-0.15306
Word:225-horsepower cos:-0.12637
Word:glassblowers cos:-0.28649
Word:bulolo cos:-0.16417
Word:orania cos:-0.05837
Word:geiser cos:-0.48461
Word:nippenose cos:-0.42474
Word:dioulas cos:-0.10806
Word:cachaça cos:-0.04430
Word:single-crystal cos:-0.23822
Word:skyscraping cos:-0.38507
Word:altezza cos:-0.19350
Word:punk/hardcore cos:-0.14327
Word:-200 cos:-0.13022
Word:gt5 cos:-0.22773
Word:yogo cos:-0.11530
Word:hirsau cos:-0.32734
Word:3-years cos:-0.18253
Word:nevadan cos:-0.02478
Word:nyassa cos:-0.27811
Word:returnees cos:-0.06558
Word:ciganer cos:-0.31122
Word:hanham cos:-0.25753
Word:jihm cos:-0.16802
Word:calcaterra cos:-0.26921
Word:githyanki cos:-0.26395
Word:handmaidens cos:-0.11680
Word:highmore cos:-0.04497
Word:9-million cos:-0.18547
Word:adv17 cos:-0.29668
Word:cheakamus cos:-0.13522
Word:navara cos:-0.37974
Word:20/200 cos:-0.28909
Word:kishkindha cos:-0.40196
Word:hoapili cos:-0.23976
Word:brigus cos:-0.23619
Word:snowmaking cos:-0.00810
Word:colliton cos:-0.30418
Word:septentrional cos:-0.17812
Word:allelopathic cos:-0.24703
Word:illingworth cos:-0.02269
Word:vibrissae cos:-0.11289
Word:flagstaff cos:-0.00696
Word:maniots cos:-0.26638
Word:koso cos:-0.16772
Word:cerrejon cos:-0.28402
Word:60-ish cos:-0.02521
Word:rephaim cos:-0.12985
Word:jiddu cos:-0.09771
Word:guderzo cos:-0.16701
Word:hengest cos:-0.20367
Word:lubicon cos:-0.13117
Word:rovine cos:-0.29044
Word:isotherm cos:-0.13080
Word:gormenghast cos:-0.12660
Word:grutter cos:-0.10015
Word:bettles cos:-0.39654
Word:composts cos:-0.24054
Word:4700 cos:-0.37442
Word:bramhall cos:-0.06005
Word:ervil cos:-0.44236
Word:mandrills cos:-0.15597
Word:8,191 cos:-0.07321
Word:shepseskaf cos:-0.37930
Word:theresia cos:-0.19824
Word:finniss cos:-0.18007
Word:chineses cos:-0.23664
Word:keeled cos:-0.00247
Word:lippobank cos:-0.32632
Word:anioma cos:-0.15139
Word:inslaw cos:-0.23109
Word:jerai cos:-0.35740
Word:gilbraltar cos:-0.38504
Word:bargon cos:-0.14786
Word:chilcotin cos:-0.11615
Word:menuhin cos:-0.01109
Word:jonglei cos:-0.20940
Word:kg4 cos:-0.29809
Word:bạch cos:-0.16189
Word:haselton cos:-0.19955
Word:geoducks cos:-0.06879
Word:rimbunan cos:-0.17374
Word:actuary cos:-0.03614
Word:slipperiness cos:-0.14098
Word:oola cos:-0.15877
Word:denarau cos:-0.14068
Word:shohola cos:-0.27902
Word:hoverla cos:-0.23116
Word:ofsaa cos:-0.10854
Word:vaunting cos:-0.28498
Word:sonicblue cos:-0.13838
Word:ilisu cos:-0.23009
Word:excitment cos:-0.33331
Word:insurable cos:-0.10002
Word:wiligut cos:-0.46136
Word:surmounting cos:-0.17377
Word:conchita cos:-0.08740
Word:lucani cos:-0.33963
Word:psara cos:-0.15383
Word:haughmond cos:-0.25445
Word:tippah cos:-0.34764
Word:bartons cos:-0.15267
Word:kakanj cos:-0.13787
Word:jailbirds cos:-0.06264
Word:rakai cos:-0.21071
Word:eichler cos:-0.21385
Word:resettlers cos:-0.31817
Word:1977-1982 cos:-0.34738
Word:potassium-40 cos:-0.38849
Word:overbilling cos:-0.14795
Word:7-furlong cos:-0.09223
Word:rotselaar cos:-0.32428
Word:heino cos:-0.25422
Word:lowder cos:-0.41828
Word:causse cos:-0.23033
Word:3.8-million cos:-0.13557
Word:iyke cos:-0.20702
Word:re-publication cos:-0.41240
Word:ex-students cos:-0.10096
Word:pds cos:-0.13264
Word:zircons cos:-0.23347
Word:incurious cos:-0.19696
Word:heelan cos:-0.46609
Word:rostropovich cos:-0.15328
Word:daybed cos:-0.08988
Word:pétain cos:-0.36230
Word:kahu cos:-0.15180
Word:trakr cos:-0.19537
Word:akumal cos:-0.33449
Word::23 cos:-0.15508
Word:geriatricians cos:-0.08126
Word:academicism cos:-0.33011
Word:upended cos:-0.17927
Word:battlesuit cos:-0.14380
Word:friskiness cos:-0.24174
Word:houdyshell cos:-0.15321
Word:e-khalq cos:-0.05363
Word:barrenjoey cos:-0.14176
Word:jennet cos:-0.04731
Word:parapsychologists cos:-0.24643
Word:klarion cos:-0.08963
Word:kayishema cos:-0.33042
Word:boimatov cos:-0.38690
Word:ardee cos:-0.29489
Word:off-shoots cos:-0.45341
Word:muniswamy cos:-0.22931
Word:vasojevići cos:-0.30181
Word:cryptozoologists cos:-0.32524
Word:marketic cos:-0.09887
Word:57-run cos:-0.18428
Word:zeffirelli cos:-0.10516
Word:seidlin cos:-0.14963
Word:633 cos:-0.16271
Word:ex-president cos:-0.38796
Word:broach cos:-0.18896
Word:afri cos:-0.04087
Word:musicality cos:-0.08435
Word:nakusp cos:-0.17693
Word:schmoke cos:-0.31084
Word:landaluce cos:-0.33444
Word:sprunt cos:-0.16096
Word:zadvydas cos:-0.27691
Word:over-35 cos:-0.14079
Word:brethil cos:-0.17197
Word:z-10 cos:-0.14806
Word:tekle cos:-0.22907
Word:angelie cos:-0.13257
Word:1,890 cos:-0.18749
Word:underselling cos:-0.22789
Word:deil cos:-0.31579
Word:amerisourcebergen cos:-0.49013
Word:ayato cos:-0.29244
Word:giana cos:-0.10353
Word:bel-imperia cos:-0.05796
Word:spirochetes cos:-0.14266
Word:hardijanti cos:-0.20312
Word:zarzir cos:-0.00232
Word:slave-owners cos:-0.23997
Word:kabloom cos:-0.30299
Word:underlies cos:-0.18483
Word:algodones cos:-0.17316
Word:expunging cos:-0.27840
Word:iason cos:-0.40956
Word:jahanara cos:-0.21412
Word:illithids cos:-0.26977
Word:endearment cos:-0.01981
Word:zazzle cos:-0.28388
Word:30-million cos:-0.04486
Word:aabb cos:-0.19022
Word:poldi cos:-0.24615
Word:incriminated cos:-0.08276
Word:nizhalgal cos:-0.19051
Word:dithering cos:-0.14166
Word:licensers cos:-0.30421
Word:katharina cos:-0.11027
Word:then-u.s. cos:-0.28955
Word:yousefi cos:-0.31901
Word:fouls_new cos:-0.12078
Word:marsters cos:-0.08528
Word:yesteryears cos:-0.19875
Word:careworn cos:-0.14993
Word:inza cos:-0.41882
Word:kg1 cos:-0.05105
Word:kargaly cos:-0.37416
Word:rimonim cos:-0.32188
Word:metalworker cos:-0.05369
Word:tsuru cos:-0.26508
Word:pickel cos:-0.12720
Word:tudeh cos:-0.10228
Word:moonshiners cos:-0.00716
Word:maag cos:-0.24881
Word:gooty cos:-0.20706
Word:dodin cos:-0.47453
Word:civics cos:-0.02196
Word:bras cos:-0.00621
Word:200-km cos:-0.20281
Word:intension cos:-0.05152
Word:fesler cos:-0.36711
Word:moneymen cos:-0.12022
Word:qeybdiid cos:-0.14738
Word:culbro cos:-0.32212
Word:whaley cos:-0.17875
Word:colorism cos:-0.14524
Word:keplinger cos:-0.37914
Word:viernheim cos:-0.46267
Word:marou cos:-0.18645
Word:usapa cos:-0.40540
Word:ulua cos:-0.11610
Word:neurolinguistics cos:-0.31480
Word:good-humoured cos:-0.04971
Word:reny cos:-0.42946
Word:berden cos:-0.19941
Word:supertwins cos:-0.10439
Word:3,814 cos:-0.12334
Word:oligarchic cos:-0.27233
Word:drinkwine cos:-0.41552
Word:p.n. cos:-0.24242
Word:duvets cos:-0.10307
Word:amatzia cos:-0.15628
Word:remants cos:-0.27831
Word:nectaries cos:-0.17613
Word:intial cos:-0.11983
Word:ifad cos:-0.30441
Word:enoosaen cos:-0.19041
Word:hazmi cos:-0.07138
Word:grigorovich cos:-0.36491
Word:coriaceous cos:-0.19038
Word:jamdani cos:-0.14770
Word:cornaro cos:-0.03137
Word:tissandier cos:-0.38360
Word:kedine cos:-0.00750
Word:lagman cos:-0.19238
Word:burzum cos:-0.18301
Word:reoffending cos:-0.14456
Word:carboxyhemoglobin cos:-0.28516
Word:resia cos:-0.29866
Word:alfas cos:-0.43794
Word:harisu cos:-0.20423
Word:oromos cos:-0.24438
Word:fangzhuo cos:-0.24032
Word:wuthnow cos:-0.42089
Word:newfoundlands cos:-0.09494
Word:mikitani cos:-0.19421
Word:geissman cos:-0.37555
Word:bhoot cos:-0.07196
Word:wabi cos:-0.02811
Word:rathores cos:-0.42646
Word:alemanno cos:-0.15327
Word:hovenkamp cos:-0.29561
Word:51,875 cos:-0.12024
Word:joas cos:-0.31471
Word:exter cos:-0.34714
Word:water-power cos:-0.27170
Word:na6 cos:-0.21857
Word:fireballer cos:-0.00506
Word:victimising cos:-0.16695
Word:kaniskina cos:-0.22831
Word:vincristine cos:-0.22229
Word:zurkhaneh cos:-0.15978
Word:hagee cos:-0.10678
Word:khia cos:-0.15604
Word:bol cos:-0.15591
Word:sandur cos:-0.30784
Word:w.a.c. cos:-0.30312
Word:irbis cos:-0.27207
Word:louvin cos:-0.01518
Word:hoggins cos:-0.15568
Word:45,833 cos:-0.03012
Word:vics cos:-0.16716
Word:makkum cos:-0.15420
Word:burragorang cos:-0.22031
Word:dersim cos:-0.17932
Word:passings cos:-0.36354
Word:62-point cos:-0.27460
Word:zillaya cos:-0.22825
Word:krasnosielc cos:-0.41892
Word:mortmain cos:-0.11571
Word:ascendence cos:-0.39208
Word:bunnie cos:-0.23979
Word:wittington cos:-0.38212
Word:chupan cos:-0.21294
Word:mardjo cos:-0.18523
Word:daynile cos:-0.13651
Word:800-foot cos:-0.20633
Word:senderk cos:-0.27321
Word:millworkers cos:-0.09210
Word:shikimic cos:-0.10570
Word:crp cos:-0.10805
Word:carcross cos:-0.23649
Word:inkpen cos:-0.29623
Word:rabiya cos:-0.20243
Word:class-action cos:-0.00198
Word:nem cos:-0.00967
Word:kasmir cos:-0.28492
Word:julien-k cos:-0.19506
Word:davachi cos:-0.13403
Word:wanglee cos:-0.15980
Word:atacama cos:-0.10244
Word:mushaf cos:-0.00457
Word:non-medical cos:-0.00176
Word:eliach cos:-0.29842
Word:musbah cos:-0.37609
Word:boeri cos:-0.23481
Word:clubmates cos:-0.25502
Word:goldfield cos:-0.20434
Word:gudenus cos:-0.15456
Word:sandinistas cos:-0.25908
Word:mofid cos:-0.18952
Word:goaless cos:-0.03107
Word:hedeman cos:-0.01219
Word:vigario cos:-0.31708
Word:auskick cos:-0.10298
Word:mutabilis cos:-0.04354
Word:lovechild cos:-0.07067
Word:sekinchan cos:-0.28533
Word:government-backed cos:-0.19595
Word:skyscape cos:-0.35220
Word:misgovernment cos:-0.25213
Word:anti-israeli cos:-0.20300
Word:tree-planting cos:-0.20311
Word:agovv cos:-0.21665
Word:finden cos:-0.11772
Word:qb5 cos:-0.23437
Word:six-storey cos:-0.29332
Word:psychidae cos:-0.06400
Word:liucheng cos:-0.16123
Word:conceptualisation cos:-0.47848
Word:erme cos:-0.22326
Word:3,000-plus cos:-0.19241
Word:frets cos:-0.12345
Word:m.a.f.i.a. cos:-0.03443
Word:phosphorite cos:-0.30354
Word:bauls cos:-0.13121
Word:counterfactuals cos:-0.16757
Word:facilties cos:-0.36982
Word:63,800 cos:-0.28202
Word:hornbeck cos:-0.21874
Word:anglophilia cos:-0.24184
Word:autosomes cos:-0.25173
Word:reconnoitred cos:-0.38764
Word:banyarwanda cos:-0.27556
Word:81.23 cos:-0.33352
Word:off-roading cos:-0.07286
Word:belica cos:-0.35809
Word:tayback cos:-0.17747
Word:andrawes cos:-0.10854
Word:cẩn cos:-0.41196
Word:kd7 cos:-0.22639
Word:possibilites cos:-0.28370
Word:sacristan cos:-0.22397
Word:yellin cos:-0.22352
Word:vacillations cos:-0.31837
Word:oppressiveness cos:-0.23059
Word:nine-hole cos:-0.01660
Word:wolmer cos:-0.19026
Word:anglophile cos:-0.03785
Word:donnkenny cos:-0.43236
Word:hybels cos:-0.10194
Word:kaligis cos:-0.18633
Word:olfert cos:-0.22813
Word:provincials cos:-0.15980
Word:armlet cos:-0.12583
Word:charlestonians cos:-0.12853
Word:pakula cos:-0.08469
Word:barayagwiza cos:-0.26407
Word:ubolratana cos:-0.19555
Word:inconstancy cos:-0.17993
Word:haun cos:-0.13383
Word:valcour cos:-0.05307
Word:allamuchy cos:-0.12613
Word:js04bb cos:-0.24932
Word:groomsmen cos:-0.06780
Word:ascription cos:-0.13516
Word:sippola cos:-0.37875
Word:koreas cos:-0.11062
Word:vierchowod cos:-0.22472
Word:iravan cos:-0.25031
Word:krih cos:-0.06854
Word:saintliness cos:-0.16008
Word:documentations cos:-0.38194
Word:montara cos:-0.08560
Word:gonet cos:-0.30837
Word:yendi cos:-0.20083
Word:unprofessionalism cos:-0.21813
Word:gorkhas cos:-0.11877
Word:liangxing cos:-0.00122
Word:hyflux cos:-0.02622
Word:bidoons cos:-0.22272
Word:206.5 cos:-0.30519
Word:rajaonarivelo cos:-0.05468
Word:apatzingan cos:-0.17520
Word:courtland cos:-0.28897
Word:archibishop cos:-0.31493
Word:antolini cos:-0.48834
Word:725,000 cos:-0.24559
Word:disclaims cos:-0.20833
Word:cashiering cos:-0.39481
Word:slowdive cos:-0.04028
Word:elisabeta cos:-0.14281
Word:555-1212 cos:-0.21719
Word:accomodated cos:-0.19987
Word:teteven cos:-0.41241
Word:luzane cos:-0.11180
Word:moyamba cos:-0.18359
Word:enabler cos:-0.08482
Word:bxc3 cos:-0.24172
Word:buidhe cos:-0.17191
Word:myogen cos:-0.29525
Word:acrylate cos:-0.19471
Word:mullinahone cos:-0.25588
Word:cytokine cos:-0.13738
Word:breskens cos:-0.05235
Word:non-directional cos:-0.04877
Word:pulquerias cos:-0.32587
Word:appartment cos:-0.25229
Word:scafell cos:-0.00332
Word:serendipitously cos:-0.03586
Word:nordica cos:-0.03976
Word:nyimpine cos:-0.11494
Word:davout cos:-0.29307
Word:maruko cos:-0.24019
Word:embroiderer cos:-0.04713
Word:abtao cos:-0.13807
Word:mid-scale cos:-0.13546
Word:ireland-based cos:-0.17771
Word:genzyme cos:-0.02763
Word:trepper cos:-0.28472
Word:bete cos:-0.00685
Word:bf8 cos:-0.12532
Word:ambion cos:-0.25659
Word:charroux cos:-0.40603
Word:immunogen cos:-0.16519
Word:free-born cos:-0.02670
Word:ussa cos:-0.08794
Word:worsbrough cos:-0.23545
Word:newtok cos:-0.27424
Word:better-equipped cos:-0.29147
Word:armond cos:-0.18702
Word:lacker cos:-0.19346
Word:schlieben cos:-0.26798
Word:dmitrov cos:-0.56179
Word:arzobispo cos:-0.38456
Word:eam cos:-0.12994
Word:dollarization cos:-0.16727
Word:nona cos:-0.06214
Word:unestablished cos:-0.17457
Word:wolffer cos:-0.22008
Word:tarkio cos:-0.06138
Word:characterisations cos:-0.27063
Word:ivanna cos:-0.39939
Word:guenoc cos:-0.34507
Word:alboraya cos:-0.39142
Word:votadini cos:-0.24933
Word:altun cos:-0.13533
Word:chichén cos:-0.26614
Word:r-3 cos:-0.19697
Word:460th cos:-0.29654
Word:nyo cos:-0.21950
Word:nachrs cos:-0.24625
Word:schecter cos:-0.11548
Word:amiyumi cos:-0.03475
Word:beshenivsky cos:-0.41558
Word:defever cos:-0.36418
Word:choanoflagellates cos:-0.16086
Word:dippin cos:-0.09868
Word:manenberg cos:-0.11878
Word:gibbens cos:-0.27381
Word:tjallingii cos:-0.12940
Word:pro-confederate cos:-0.22952
Word:vinters cos:-0.13618
Word:koronis cos:-0.05271
Word:karava cos:-0.04502
Word:g500 cos:-0.34165
Word:itno cos:-0.28130
Word:hattian cos:-0.27918
Word:plainridge cos:-0.36542
Word:narayanan cos:-0.06806
Word:amphenol cos:-0.25868
Word:cantley cos:-0.36655
Word:consistantly cos:-0.26186
Word:nyamuragira cos:-0.31775
Word:heffern cos:-0.23577
Word:hexachord cos:-0.13406
Word:misérables cos:-0.08927
Word:140-million cos:-0.12234
Word:re3 cos:-0.25203
Word:trueheart cos:-0.10602
Word:gharials cos:-0.04963
Word:roselawn cos:-0.03636
Word:4,391 cos:-0.17559
Word:tetulia cos:-0.17738
Word:brueggemann cos:-0.08441
Word:somm cos:-0.32585
Word:gutmann cos:-0.30018
Word:rosse cos:-0.07290
Word:knotty cos:-0.00972
Word:reinstatements cos:-0.35457
Word:qlt cos:-0.12517
Word:willmer cos:-0.02376
Word:letmathe cos:-0.10985
Word:autobytel.com cos:-0.13591
Word:loíza cos:-0.34885
Word:plateaux cos:-0.28018
Word:shaimiyev cos:-0.36255
Word:samphire cos:-0.14283
Word:f-4e cos:-0.03310
Word:goijman cos:-0.29056
Word:südtirol cos:-0.07112
Word:6.50 cos:-0.06928
Word:44-run cos:-0.14693
Word:whinstone cos:-0.21426
Word:wecht cos:-0.11898
Word:inkheart cos:-0.06468
Word:tremayne cos:-0.25113
Word:300-word cos:-0.24063
Word:xuanxu cos:-0.22612
Word:2-6-2 cos:-0.03944
Word:miat cos:-0.07838
