Word:awakens cos:0.31939
Word:alphastar cos:-0.26297
Word:sidwell cos:-0.05556
Word:dalem cos:-0.03762
Word:mi-4 cos:-0.13300
Word:jace cos:-0.17300
Word:dinshaw cos:-0.36752
Word:irit cos:-0.17710
Word:mousetraps cos:-0.00090
Word:rabello cos:-0.45111
Word:paludomidae cos:-0.04826
Word:kalin cos:-0.11710
Word:hitz cos:-0.26268
Word:dainelli cos:-0.08725
Word:kozol cos:-0.22410
Word:deadened cos:-0.10224
Word:ransohoff cos:-0.35216
Word:catton cos:-0.19363
Word:hagarty cos:-0.46588
Word:checkerboards cos:-0.17805
Word:despicable cos:0.11343
Word:rehiring cos:-0.25195
Word:cozart cos:-0.25851
Word:satom cos:-0.20364
Word:tardif cos:-0.23022
Word:lewontin cos:-0.23461
Word:awaken cos:0.24465
Word:edixon cos:-0.17523
Word:takko cos:-0.11678
Word:praying cos:0.33256
Word:nelsen cos:0.00045
Word:aie cos:-0.00298
Word:scats cos:0.00170
Word:avram cos:-0.23350
Word:whipsawed cos:-0.17867
Word:lanier cos:-0.05409
Word:000896 cos:-0.24519
Word:wavers cos:-0.08439
Word:mazursky cos:-0.02184
Word:goalies_detroit cos:-0.18823
Word:castlemartin cos:-0.31921
Word:paramahansa cos:-0.14563
Word:umlauts cos:-0.19202
Word:schlee cos:-0.42232
Word:underclassman cos:-0.11831
Word:renegar cos:-0.38384
Word:icsa cos:-0.00754
Word:frothy cos:0.20548
Word:fearful cos:0.15850
Word:haliday cos:-0.21362
Word:i-iii cos:-0.14120
Word:balki cos:-0.09927
Word:codebreakers cos:-0.18559
Word:nfa cos:0.04637
Word:sanberk cos:-0.26935
Word:keiser cos:-0.26036
Word:31.33 cos:-0.31018
Word:3,306 cos:-0.27243
Word:drabowsky cos:-0.29146
Word:shotkoski cos:-0.24617
Word:ráth cos:-0.05675
Word:electrospinning cos:-0.14127
Word:cele cos:-0.08610
Word:langella cos:-0.03287
Word:benderman cos:-0.31145
Word:messinia cos:-0.22975
Word:j-10 cos:0.08559
Word:booth cos:0.23456
Word:assaults cos:0.01529
Word:weimer cos:-0.22318
Word:ranney cos:-0.30329
Word:ancients cos:0.05319
Word:129.3 cos:-0.18316
Word:bhimrao cos:-0.27631
Word:karanjia cos:-0.39220
Word:mantos cos:-0.37495
Word:koroman cos:-0.08062
Word:elephantmen cos:-0.18489
Word:marchiano cos:-0.31949
Word:idp cos:-0.04397
Word:implementor cos:-0.18843
Word:58.88 cos:-0.24658
Word:smolar cos:-0.40627
Word:bellamy cos:0.20150
Word:thietmar cos:-0.20458
Word:altanmia cos:-0.13407
Word:anadol cos:-0.24513
Word:5,600 cos:-0.12603
Word:plumley cos:-0.39619
Word:apollonius cos:-0.19863
Word:tazi cos:-0.23181
Word:arborists cos:-0.01214
Word:saltiel cos:-0.32368
Word:balkanski cos:-0.30403
Word:aprica cos:-0.15897
Word:gitter cos:-0.21316
Word:loughery cos:-0.31308
Word:llambias cos:-0.26859
Word:pradier cos:-0.41622
Word:corpsmen cos:0.02119
Word:tapp cos:-0.02022
Word:larible cos:-0.13702
Word:sumarno cos:-0.32271
Word:djimi cos:-0.13772
Word:garrod cos:-0.07107
Word:reinis cos:-0.38040
Word:fetishist cos:0.20253
Word:carvers cos:0.05937
Word:lenah cos:-0.16169
Word:chany cos:-0.35616
Word:jazayeri cos:-0.32450
Word:boutet cos:-0.50835
Word:hafslund cos:-0.17236
Word:chotto cos:-0.09937
Word:orofino cos:-0.20957
Word:karras cos:-0.05685
Word:margarit cos:-0.19071
Word:karanka cos:-0.15792
Word:ulusoy cos:-0.11175
Word:malachy cos:-0.13015
Word:nanu cos:-0.09963
Word:golombek cos:-0.00423
Word:ganteaume cos:-0.29005
Word:seamstresses cos:-0.06419
Word:hib cos:0.19033
Word:transportation cos:0.04191
Word:ebner cos:-0.14871
Word:terrifying cos:0.28411
Word:kashkar cos:-0.44817
Word:sklar cos:-0.13482
Word:normalizer cos:-0.04848
Word:53.82 cos:-0.20600
Word:fécamp cos:-0.24896
Word:thilina cos:-0.18140
Word:oberto cos:0.04845
Word:sohio cos:-0.44585
Word:fifer cos:0.09598
Word:brennan cos:0.20700
Word:naunton cos:-0.23497
Word:re-floated cos:-0.09293
Word:cayton cos:-0.17510
Word:286,000 cos:-0.26007
Word:urumi cos:0.04814
Word:inhuman cos:0.15764
Word:lucrezia cos:-0.05616
Word:meselech cos:-0.06240
Word:hijrah cos:-0.05890
Word:renormalized cos:-0.24249
Word:austria-este cos:-0.29839
Word:erc cos:-0.02631
Word:disciplining cos:0.02001
Word:chucho cos:-0.13056
Word:perpetrated cos:0.02302
Word:limed cos:-0.27197
Word:samii cos:-0.36744
Word:maturer cos:-0.09068
Word:afrikan cos:0.02403
Word:amarildo cos:-0.28308
Word:armagnacs cos:-0.23729
Word:cidg cos:-0.15145
Word:filmland cos:0.16222
Word:kantzow cos:-0.34725
Word:flateyjarbók cos:-0.17661
Word:hand-eye cos:-0.30004
Word:oláh cos:-0.22122
Word:terrin cos:-0.27080
Word:exemplars cos:-0.13844
Word:parumog cos:-0.07363
Word:11-year-old cos:0.17188
Word:godbold cos:-0.40704
Word:kindergartners cos:0.04512
Word:knitters cos:-0.04318
Word:moretz cos:-0.09353
Word:kindercare cos:-0.12844
Word:erturk cos:-0.13856
Word:gobat cos:-0.38059
Word:weathersby cos:-0.33456
Word:carabiners cos:-0.14388
Word:82.49 cos:-0.31248
Word:masturbates cos:-0.14696
Word:carrano cos:-0.18690
Word:barbin cos:-0.37361
Word:muttaqin cos:-0.46093
Word:underestimation cos:-0.26274
Word:durmanov cos:-0.26226
Word:jesperson cos:-0.07701
Word:kerosene cos:0.14119
Word:175.50 cos:-0.40859
Word:introvert cos:0.07687
Word:dager cos:-0.27386
Word:hackness cos:-0.44773
Word:grímsson cos:-0.27275
Word:hindle cos:-0.02973
Word:2in cos:-0.11893
Word:35km cos:-0.19747
Word:electricians cos:-0.16337
Word:tolga cos:-0.14054
Word:digory cos:-0.10996
Word:oster cos:0.01773
Word:lorax cos:0.17811
Word:stratos cos:-0.09483
Word:amala cos:-0.15683
Word:virts cos:-0.18146
Word:evangelist cos:0.09122
Word:nigerian-born cos:0.00741
Word:96.08 cos:-0.09112
Word:saue cos:-0.26725
Word:moved cos:0.22907
Word:animistic cos:0.03476
Word:d'elia cos:-0.09469
Word:profitis cos:-0.22474
Word:aiden cos:0.03705
Word:reapers cos:0.10049
Word:lettice cos:-0.10612
Word:toulalan cos:-0.11311
Word:hatchette cos:-0.10289
Word:geis cos:-0.29467
Word:gameday cos:0.13802
Word:angelopoulos cos:0.06667
Word:camerlengo cos:-0.06371
Word:teucer cos:-0.14092
Word:jennies cos:-0.08191
Word:dream-quest cos:-0.15363
Word:erol cos:-0.12719
Word:stiliyan cos:-0.29323
Word:vertus cos:-0.29287
Word:interbred cos:0.05356
Word:nwo cos:0.02695
Word:13:18 cos:-0.24217
Word:gerrard cos:0.10611
Word:boger cos:-0.10975
Word:borromini cos:-0.19847
Word:legat cos:-0.32180
Word:haydu cos:-0.38893
Word:snac cos:-0.19617
Word:pavone cos:-0.15604
Word:suzumiya cos:-0.08826
Word:strank cos:-0.35749
Word:sisto cos:-0.17072
Word:khaen cos:-0.08687
Word:gaylon cos:-0.43994
Word:guajeos cos:-0.15617
Word:innocent cos:0.24110
Word:325-pound cos:-0.17652
Word:boo-boo cos:0.00368
Word:wiseacre cos:0.07215
Word:all-volunteer cos:-0.12906
Word:livsey cos:-0.16343
Word:bahrenburg cos:-0.48318
Word:conlon cos:-0.14609
Word:photoreceptor cos:-0.06214
Word:blakemore cos:-0.19515
Word:simkins cos:-0.35218
Word:proth cos:-0.14350
Word:württemberg-hohenzollern cos:-0.31177
Word:reliques cos:-0.04028
Word:villagrán cos:-0.34053
Word:cegetel cos:-0.09541
Word:jayshree cos:-0.25734
Word:dustman cos:0.00758
Word:hotfix cos:-0.12879
Word:3-50 cos:-0.19037
Word:4th cos:0.14506
Word:board cos:0.30997
Word:mcallister cos:0.01358
Word:arancio cos:-0.24836
Word:oteil cos:-0.30916
Word:segregation cos:0.07267
Word:papermakers cos:-0.21934
Word:inspector cos:0.09920
Word:gentileschi cos:0.08801
Word:l-bahá cos:0.07358
Word:glaister cos:-0.19713
Word:mjelde cos:-0.16758
Word:ffl cos:-0.03649
Word:sirola cos:-0.22872
Word:xander cos:0.14438
Word:demetre cos:-0.25647
Word:zivadinovic cos:-0.35974
Word:monkman cos:0.02940
Word:craniofacial cos:-0.02367
Word:tejeda cos:-0.27428
Word:austin cos:0.20003
Word:jaxon cos:-0.14258
Word:marecic cos:-0.21320
Word:amphitryon cos:-0.13811
Word:birnie cos:-0.22999
Word:haskel cos:-0.31701
Word:vanir cos:-0.14941
Word:romário cos:-0.15513
Word:shripad cos:-0.29216
Word:exhilarated cos:-0.04653
Word:ondra cos:-0.22226
Word:all-rookie cos:-0.05275
Word:rimland cos:-0.37856
Word:baldanza cos:-0.16005
Word:socrates cos:0.00316
Word:conor cos:0.06220
Word:roucy cos:-0.49645
Word:sauzee cos:-0.19147
Word:giberson cos:-0.46795
Word:austad cos:-0.17866
Word:notochord cos:-0.08134
Word:yared cos:-0.27245
Word:gettinger cos:-0.25035
Word:rambos cos:-0.00161
Word:59.89 cos:-0.33767
Word:kalischer cos:-0.28822
Word:commodores cos:0.01113
Word:cosgrove cos:-0.05890
Word:hasenclever cos:-0.28654
Word:hyneman cos:-0.06413
Word:furio cos:-0.27641
Word:ludendorff cos:-0.39630
Word:venant cos:-0.40161
Word:klawitter cos:-0.34474
Word:pricing cos:0.07867
Word:stubai cos:-0.08773
Word:tutuila cos:0.11965
Word:pancoast cos:-0.17815
Word:tidd cos:-0.37915
Word:schroll cos:-0.18382
Word:38,200 cos:-0.39292
Word:sween cos:-0.11942
Word:funaro cos:-0.24484
Word:pfohl cos:-0.30576
Word:melkamu cos:-0.02156
Word:knapped cos:-0.34328
Word:sumedha cos:-0.43248
Word:instinct cos:0.56737
Word:massara cos:-0.27844
Word:biasatti cos:-0.09215
Word:wathelet cos:-0.30032
Word:wished cos:0.15448
Word:midgrade cos:-0.20621
Word:charungvat cos:-0.22633
Word:nishijima cos:-0.35900
Word:papale cos:-0.06857
Word:pierné cos:-0.24639
Word:avinash cos:-0.15450
Word:oligarchies cos:-0.14769
Word:fader cos:-0.04989
Word:heumann cos:-0.18900
Word:25-aug cos:-0.33980
Word:pre-condition cos:-0.21051
Word:fruh cos:-0.36248
Word:virgata cos:-0.01896
Word:525i cos:-0.30943
Word:jitters cos:-0.02618
Word:boquerón cos:-0.39164
Word:narendranath cos:-0.12997
Word:bellator cos:-0.24419
Word:bradua cos:-0.29487
Word:feuerstein cos:-0.26970
Word:kandamby cos:-0.15317
Word:sköld cos:-0.26789
Word:heilman cos:-0.17330
Word:maregwede cos:-0.36143
Word:zindel cos:-0.27311
Word:syrett cos:-0.33818
Word:simonis cos:0.06356
Word:peeples cos:-0.14678
Word:bickett cos:-0.50707
Word:bahadar cos:-0.07871
Word:rendón cos:-0.29795
Word:yimou cos:0.28646
Word:altobelli cos:-0.05135
Word:commanders-in-chief cos:-0.30661
Word:10,120 cos:-0.37163
Word:sherwani cos:0.04592
Word:vasilis cos:-0.00663
Word:hamasaki cos:0.05527
Word:stace cos:-0.15976
Word:windsurf cos:-0.01147
Word:zulkifli cos:-0.13419
Word:subbu cos:-0.32946
Word:chouly cos:-0.19781
Word:branciforte cos:-0.35919
Word:appelt cos:-0.16777
Word:gaula cos:-0.03149
Word:kishan cos:-0.03524
Word:lauretta cos:-0.17157
Word:barchester cos:-0.10974
Word:gettis cos:-0.30801
Word:malitoli cos:-0.40207
Word:m.f.k. cos:-0.12848
Word:dagr cos:-0.07552
Word:mahawangsa cos:-0.13394
Word:stotfold cos:-0.39752
Word:olav cos:-0.06698
Word:gribeauval cos:-0.24989
Word:bouck cos:-0.12583
Word:l997 cos:-0.18396
Word:coiner cos:-0.13320
Word:avrich cos:-0.40952
Word:15-year-old cos:0.17916
Word:transforming cos:0.16123
Word:1969-74 cos:-0.29879
Word:marles cos:-0.40297
Word:eppes cos:0.01933
Word:dintenfass cos:-0.18443
Word:stepakoff cos:-0.34173
Word:woodmen cos:-0.02325
Word:bacani cos:-0.24833
Word:outgrew cos:-0.06540
Word:peffer cos:-0.40966
Word:lalit cos:-0.05904
Word:suherman cos:-0.36791
Word:dehui cos:-0.39232
Word:moisés cos:-0.27167
Word:27 cos:0.10627
Word:binner cos:-0.11076
Word:transpennine cos:-0.01716
Word:damias cos:-0.15388
Word:jouni cos:-0.28181
Word:morals cos:0.15680
Word:kewell cos:0.17569
Word:napper cos:-0.23692
Word:suratman cos:-0.60208
Word:rawitch cos:-0.46306
Word:gunvessels cos:-0.14334
Word:1988-1994 cos:-0.27301
Word:skylitzes cos:-0.23196
Word:navys cos:-0.18617
Word:gas cos:0.14935
Word:eighteen-year cos:-0.22385
Word:bonsall cos:-0.10167
Word:sarma cos:0.04770
Word:nivola cos:-0.01122
Word:briquette cos:-0.09160
Word:lorelai cos:0.06279
Word:scheurebe cos:-0.30490
Word:blacksburg cos:-0.14463
Word:villalon cos:0.02311
Word:sinigaglia cos:-0.27985
Word:tudori cos:-0.27876
Word:kegs cos:-0.01672
Word:maniero cos:-0.06567
Word:imane cos:-0.23259
Word:moravec cos:-0.34248
Word:iuliano cos:-0.13141
Word:rej cos:-0.24295
Word:dharmasthala cos:-0.31852
Word:langdon cos:-0.06208
Word:lebar cos:-0.19863
Word:wasescha cos:-0.44546
Word:tracheostomy cos:0.12035
Word:patriot-news cos:-0.28187
Word:ideapad cos:-0.12162
Word:amalgamates cos:-0.28748
Word:cubase cos:-0.19780
Word:yonatan cos:-0.06832
Word:elastomeric cos:-0.09076
Word:freyberg cos:-0.21974
Word:friedlaender cos:-0.35959
Word:1982-1983 cos:-0.21257
Word:rapelje cos:-0.28353
Word:mckeever cos:0.06053
Word:ederer cos:-0.13551
Word:dalgarno cos:-0.18461
Word:belfield cos:-0.28258
Word:crampton cos:-0.24381
Word:bonato cos:-0.31703
Word:naper cos:-0.33694
Word:fulcher cos:-0.37060
Word:emanating cos:0.03676
Word:løken cos:-0.23294
Word:embrace cos:0.20925
Word:albritton cos:-0.32297
Word:al-fiqh cos:-0.27603
Word:aerosystems cos:-0.04086
Word:rasped cos:-0.11046
Word:michio cos:-0.15910
Word:subramaniam cos:-0.05821
Word:non-natural cos:-0.08849
Word:on-reserve cos:-0.06569
Word:chicchi cos:-0.07569
Word:efs cos:-0.03060
Word:xianbin cos:-0.33196
Word:self-hating cos:0.08276
Word:trishna cos:0.17280
Word:exorcising cos:0.11510
Word:johannah cos:-0.34954
Word:freds cos:-0.25074
Word:moco cos:-0.12801
Word:brownhill cos:-0.35793
Word:kyr cos:-0.47633
Word:sheepherder cos:-0.04220
Word:woollens cos:-0.15274
Word:right-winger cos:-0.12143
Word:johnstones cos:-0.16929
Word:westrum cos:-0.23560
Word:katoto cos:-0.46748
Word:bogaerts cos:-0.22598
Word:raizo cos:-0.10345
Word:taborda cos:-0.07175
Word:stratis cos:-0.24796
Word:kainer cos:-0.28460
Word:lilium cos:0.07381
Word:illing cos:-0.10546
Word:heidt cos:-0.29681
Word:koivuranta cos:-0.28952
Word:noncompetitive cos:0.04370
Word:zamanbek cos:-0.34163
Word:co-editing cos:-0.16516
Word:idli cos:-0.03996
Word:gruyères cos:-0.49954
Word:41.89 cos:-0.33006
Word:padowitz cos:-0.37973
Word:hiang cos:0.06344
Word:raker cos:-0.20900
Word:befriends cos:0.40893
Word:sveta cos:-0.18351
Word:rollingstock cos:-0.35209
Word:six-figure cos:-0.29918
Word:fewkes cos:-0.41578
Word:piad cos:-0.09213
Word:wfd cos:-0.14345
Word:papf cos:-0.23421
Word:yasuhiro cos:-0.25403
Word:spurling cos:-0.16324
Word:sundara cos:-0.11054
Word:summerton cos:-0.28673
Word:irrevocably cos:0.01343
Word:ex-soldier cos:-0.08280
Word:glasier cos:-0.26256
Word:paralegals cos:-0.24731
Word:laërtius cos:-0.08122
Word:lilah cos:-0.10785
Word:voici cos:0.07588
Word:dillwyn cos:-0.29701
Word:68.08 cos:-0.33294
Word:gleed cos:-0.05649
Word:floatplanes cos:0.17383
Word:1986-1987 cos:-0.25917
Word:clemenceau cos:-0.07469
Word:sandrich cos:-0.24822
Word:macfarlan cos:-0.37456
Word:vavuniya cos:-0.08981
Word:lamanite cos:-0.04825
Word:tramping cos:0.09849
Word:baa cos:0.13419
Word:jurgis cos:-0.25308
Word:i-ii cos:-0.22733
Word:dellucci cos:-0.23804
Word:abrahamic cos:-0.05340
Word:varadharaja cos:-0.16919
Word:krebs cos:-0.14119
Word:liir cos:-0.12379
Word:pilgrimmage cos:-0.16383
Word:epaulette cos:0.23922
Word:47.45 cos:-0.23766
Word:canalised cos:0.00429
Word:turiddu cos:0.05810
Word:3mm cos:-0.12688
Word:prophetic cos:0.04465
Word:mcgrane cos:-0.03375
Word:non-orientable cos:0.03100
Word:agrichemicals cos:-0.43893
Word:1914-1917 cos:-0.15673
Word:85.13 cos:-0.23542
Word:mengesha cos:-0.22686
Word:c-19 cos:-0.05040
Word:14-3-3 cos:-0.30491
Word:20005 cos:-0.37406
Word:tawanda cos:-0.03640
Word:stroup cos:-0.24653
Word:ucko cos:-0.37159
Word:notions cos:0.08520
Word:13-18 cos:-0.03446
Word:itl cos:-0.12637
Word:phiale cos:-0.16941
Word:quarterpipe cos:-0.13514
Word:pennsylvanians cos:-0.11882
Word:ballou cos:0.28963
Word:zinovy cos:-0.12220
Word:brettingham cos:-0.34207
Word:lessor cos:-0.16282
Word:hongfeng cos:-0.29825
Word:doucette cos:-0.12103
Word:conceptions cos:0.00480
Word:in-app cos:-0.14758
Word:bengang cos:-0.27468
Word:emtricitabine cos:-0.12396
Word:issai cos:-0.33306
Word:cheuvront cos:-0.23350
Word:roiz cos:-0.31224
Word:mi-5 cos:-0.00895
Word:piergiorgio cos:-0.02494
Word:hoelzl cos:-0.14559
Word:thayer cos:-0.12754
Word:masatake cos:-0.36510
Word:pennie cos:-0.22286
Word:plumaged cos:0.20837
Word:puleston cos:-0.36782
Word:p76 cos:-0.25617
Word:gewurztraminers cos:-0.08858
Word:monocle cos:0.19610
Word:springing cos:0.01714
Word:hullin cos:-0.26214
Word:giasone cos:-0.18184
Word:o'crowley cos:-0.27717
Word:2,079 cos:-0.41418
Word:bridgwood cos:-0.45257
Word:annunzio cos:-0.18883
Word:vetter cos:-0.08412
Word:anjani cos:-0.17370
Word:kiuchi cos:-0.27300
Word:benefiting cos:0.00931
Word:middle-high cos:-0.12700
Word:genda cos:-0.22430
Word:ranchlands cos:-0.37958
Word:nasella cos:-0.25131
Word:prefiguration cos:-0.21748
Word:taurine cos:0.05507
Word:swamigal cos:-0.25571
Word:sumika cos:-0.23714
Word:zhenyao cos:-0.26762
Word:christiano cos:-0.02701
Word:birk cos:-0.05260
Word:partitas cos:-0.11263
Word:mirdjalal cos:-0.19624
Word:dirac cos:0.07246
Word:kambala cos:-0.19437
Word:tanenbaum cos:-0.39330
Word:xiaoguang cos:-0.22446
Word:galison cos:-0.32338
Word:parkhill cos:-0.24872
Word:steelcase cos:-0.21272
Word:trehan cos:-0.07856
Word:ewc cos:-0.20588
Word:389.5 cos:-0.29720
Word:heartbroken cos:0.23862
Word:modenas cos:-0.24808
Word:mutsuko cos:-0.38673
Word:yaralian cos:-0.33379
Word:β-galactosidase cos:-0.19402
Word:wfi cos:-0.32786
Word:56.85 cos:-0.41044
Word:tajo cos:-0.20214
Word:minc cos:-0.16217
Word:sonographers cos:-0.23112
Word:comforted cos:0.12852
Word:midnite cos:0.08957
Word:crouch cos:-0.00760
Word:bindu cos:-0.17204
Word:linton cos:-0.30704
Word:neurath cos:-0.38824
Word:paulison cos:-0.13579
Word:engineers cos:0.12733
Word:sighet cos:-0.22231
Word:mcgeady cos:0.04651
Word:karlheinz cos:-0.29074
Word:davadilla cos:-0.44447
Word:tsuneishi cos:-0.21511
Word:drakulic cos:-0.32642
Word:kemar cos:0.14316
Word:ranque cos:-0.41448
Word:bev cos:0.02183
Word:jimerson cos:-0.20204
Word:63.59 cos:-0.38087
Word:barbiturates cos:0.17924
Word:yanar cos:-0.23097
Word:ramaekers cos:-0.17448
Word:hippocrene cos:-0.09795
Word:wermuth cos:-0.28983
Word:millgate cos:-0.31773
Word:farrait cos:-0.45881
Word:andrae cos:-0.33642
Word:speechless cos:0.17577
Word:deady cos:-0.16351
Word:loxton cos:-0.10218
Word:pompeya cos:-0.23239
Word:honko cos:-0.36262
Word:acrolophidae cos:0.20992
Word:perversions cos:0.05220
Word:defrocking cos:-0.05774
Word:51.42 cos:-0.36908
Word:autocracies cos:-0.26011
Word:postconviction cos:-0.16861
Word:ainscough cos:-0.16725
Word:knollys cos:-0.08775
Word:annalise cos:-0.16547
Word:crosetti cos:-0.17137
Word:bajolet cos:-0.32430
Word:zamzam cos:0.05537
Word:hortobagyi cos:-0.27321
Word:satchidananda cos:-0.16309
Word:santaolalla cos:-0.18791
Word:57.20 cos:-0.19857
Word:dead cos:0.48923
Word:dxo cos:-0.14956
Word:vilchez cos:-0.40670
Word:larkham cos:0.12898
Word:pavlich cos:-0.21640
Word:misetic cos:-0.33845
Word:plena cos:-0.03692
Word:frederike cos:-0.39289
Word:glanbrook cos:-0.21923
Word:nikiforos cos:0.08114
Word:genus cos:0.40859
Word:staw cos:-0.11627
Word:bopolu cos:-0.39507
Word:cramming cos:0.11473
Word:peles cos:-0.14094
Word:919 cos:-0.21996
Word:pachulski cos:-0.40870
Word:32.50 cos:-0.08535
Word:rotarians cos:-0.05631
Word:estefania cos:-0.30996
Word:bluffs cos:0.01580
Word:opening-day cos:-0.24185
Word:point-and-click cos:0.30782
Word:2810 cos:-0.04871
Word:brimming cos:0.05648
Word:stoican cos:-0.16481
Word:peafowls cos:-0.01450
Word:wuthrich cos:-0.45781
Word:golmard cos:-0.19562
Word:abdelhakim cos:-0.46621
Word:20071 cos:-0.22823
Word:987 cos:-0.23413
Word:norment cos:-0.28002
Word:enrobed cos:-0.12989
Word:immunosuppression cos:-0.15775
Word:servlets cos:-0.05270
Word:100-word cos:-0.12048
Word:shaddai cos:-0.20008
Word:lofts cos:-0.03896
Word:hanen cos:-0.22735
Word:mainlander cos:0.07811
Word:penneteau cos:-0.24506
Word:tomini cos:-0.27077
Word:coração cos:0.05866
Word:mugabe cos:-0.00066
Word:officialy cos:-0.25089
Word:vivino cos:-0.17802
Word:134.10 cos:-0.27966
Word:recency cos:-0.12419
Word:franko cos:-0.29528
Word:joker cos:0.41616
Word:stroboscopic cos:-0.15494
Word:kaizer cos:-0.05019
Word:u.s.-guarded cos:0.04870
Word:4-6-2 cos:0.05767
Word:sapote cos:-0.04951
Word:kemmel cos:-0.20819
Word:sĩ cos:-0.17994
Word:school/college cos:-0.37292
Word:modifies cos:-0.04937
Word:aldersley cos:-0.24541
Word:monomeric cos:-0.21397
Word:bogdan cos:-0.13538
Word:6,450 cos:-0.30470
Word:maltman cos:-0.47194
Word:1943-1946 cos:-0.25653
Word:neukomm cos:-0.31998
Word:kailasam cos:-0.09383
Word:metzen cos:-0.28790
Word:esmeraldas cos:-0.14298
Word:khanaqin cos:-0.13810
Word:1-4 cos:-0.05740
Word:clairemont cos:-0.23790
Word:evinced cos:-0.13988
Word:chessani cos:-0.13687
Word:tagami cos:-0.18821
Word:banjarmasin cos:-0.01948
Word:misdirection cos:0.02785
Word:eyeliner cos:0.20249
Word:dhobi cos:-0.00255
Word:calarasi cos:-0.31527
Word:yoginis cos:-0.14368
Word:rossiya-24 cos:-0.19068
Word:hysterectomy cos:0.01286
Word:brillo cos:0.18818
Word:avishka cos:-0.16296
Word:142.8 cos:-0.30314
Word:moulding cos:0.07846
Word:87.75 cos:-0.11696
Word:perquisite cos:-0.17069
Word:caravansary cos:-0.02844
Word:hoyles cos:-0.24857
Word:unyon cos:-0.05433
Word:conniption cos:0.00737
Word:5:4 cos:-0.12434
Word:bt800 cos:-0.38142
Word:juggle cos:-0.02125
Word:80-billion cos:-0.12023
Word:elocutionist cos:-0.20062
Word:eyeshades cos:-0.13469
Word:nevisian cos:-0.26436
Word:57.62 cos:-0.19260
Word:formula_132 cos:-0.22398
Word:goncharenko cos:-0.35104
Word:waynesboro cos:-0.20834
Word:shandler cos:-0.11835
Word:xenobiotics cos:-0.17671
Word:yorongar cos:-0.28849
Word:regimens cos:0.08164
Word:synapsid cos:0.08267
Word:sullying cos:-0.05088
Word:948,000 cos:-0.36783
Word:moorehead cos:-0.19101
Word:16th-17th cos:-0.20232
Word:petherton cos:-0.21220
Word:subagja cos:-0.10826
Word:muttur cos:-0.03409
Word:5,012 cos:-0.32987
Word:jasey cos:-0.11199
Word:berberovic cos:-0.16886
Word:rodong cos:-0.00962
Word:daryl.lease cos:0.01133
Word:desargues cos:-0.14990
Word:metabolizing cos:-0.12972
Word:formula_92 cos:-0.18439
Word:102.50 cos:-0.17891
Word:carondelet cos:-0.15437
Word:mbala cos:-0.33503
Word:180-meter cos:-0.22347
Word:20e cos:-0.12916
Word:17-ship cos:-0.27883
Word:theodosakis cos:-0.17204
Word:hgtv cos:0.16909
Word:homare cos:-0.12988
Word:ssosa cos:-0.02352
Word:microscopically cos:0.07782
Word:28-1 cos:-0.15142
Word:refunded cos:-0.04919
Word:grosgrain cos:-0.05679
Word:suave cos:0.14977
Word:jonaissant cos:-0.47703
Word:leem cos:-0.01892
Word:narok cos:-0.06038
Word:artley cos:-0.32941
Word:immaterial cos:-0.02274
Word:mammadyarov cos:-0.30022
Word:tiptop cos:-0.11429
Word:poussin cos:-0.07323
Word:constellation cos:0.22349
Word:62-foot cos:-0.13911
Word:snorkel cos:0.35309
Word:paulin cos:-0.21093
Word:seznec cos:-0.23285
Word:formula_128 cos:-0.10276
Word:lochside cos:-0.16238
Word:messi cos:0.15353
Word:628 cos:-0.17934
Word:faire cos:0.11618
Word:harelson cos:-0.32645
Word:ultrasonic cos:0.19848
Word:squeo cos:-0.38048
Word:sautes cos:-0.28073
Word:kafr cos:-0.05244
Word:mitos cos:-0.24721
Word:hair cos:0.57206
Word:benapole cos:-0.14800
Word:stet cos:0.02389
Word:muffett cos:-0.19828
Word:suthers cos:-0.25563
Word:yaphet cos:-0.30377
Word:dahi cos:-0.03791
Word:daba cos:0.02616
Word:28-aug cos:-0.14408
Word:patiya cos:-0.31469
Word:michaella cos:-0.08032
Word:250.00 cos:-0.27153
Word:50,400 cos:-0.40597
Word:halston cos:0.08635
Word:hollis cos:-0.13404
Word:interacts cos:0.11699
Word:naugahyde cos:-0.07123
Word:edgewood cos:-0.26775
Word:785 cos:-0.21284
Word:e-learning cos:-0.01191
Word:holdover cos:-0.06443
Word:deskpro cos:-0.31631
Word:beddingfield cos:-0.39838
Word:dainton cos:-0.30317
Word:zero-coupon cos:-0.24288
Word:.735 cos:-0.21431
Word:chokers cos:0.16640
Word:havlova cos:-0.23964
Word:ruwart cos:-0.15797
Word:43.88 cos:-0.24957
Word:marondera cos:-0.25783
Word:crusan cos:-0.26438
Word:sarmatia cos:-0.14092
Word:19.89 cos:-0.21390
Word:twinkling cos:0.22843
Word:izod cos:0.01714
Word:malnourished cos:0.13725
Word:lardil cos:-0.26016
Word:caesarion cos:-0.10985
Word:naimiy cos:-0.38628
Word:wassef cos:-0.00458
Word:149.1 cos:-0.21792
Word:rmartz cos:-0.00287
Word:metrostars cos:-0.08665
Word:hearkening cos:-0.00806
Word:berea cos:-0.18544
Word:tagab cos:-0.19107
Word:doodles cos:0.04607
Word:dukan cos:-0.14709
Word:sehlinger cos:-0.07669
Word:nq cos:0.00702
Word:133.6 cos:-0.21007
