Word:92.22 cos:-0.23692
Word:frontotemporal cos:-0.41388
Word:post-renaissance cos:-0.44330
Word:staff cos:0.36119
Word:euro38 cos:0.00731
Word:160,000-square cos:-0.39333
Word:guards cos:0.38758
Word:muswellbrook cos:-0.28447
Word:araliaceae cos:-0.10699
Word:univision cos:0.00910
Word:judt cos:-0.14929
Word:wfp cos:-0.08069
Word:cheshunt cos:-0.10280
Word:225.5 cos:-0.42048
Word:caldwell cos:0.43351
Word:kashala cos:-0.36213
Word:californicum cos:-0.23534
Word:13:27 cos:-0.25987
Word:x23 cos:-0.02602
Word:mãe cos:-0.27999
Word:151.5 cos:-0.33888
Word:euro195 cos:-0.13462
Word:tight cos:0.21075
Word:stavropoulos cos:-0.16144
Word:guapos cos:-0.03480
Word:gvardiya cos:-0.18413
Word:rm600 cos:-0.42734
Word:mareeba cos:-0.34279
Word:outweighed cos:-0.06542
Word:barbarigo cos:-0.02962
Word:trésor cos:-0.01438
Word:tsip cos:-0.23058
Word:palestino cos:0.06783
Word:howett cos:-0.00323
Word:cmim cos:-0.29378
Word:fujito cos:-0.13577
Word:avanhard cos:-0.30265
Word:755,000 cos:-0.32743
Word:d'brickashaw cos:-0.07198
Word:gyanendra cos:0.08578
Word:bronko cos:-0.00962
Word:schlumpf cos:-0.34514
Word:abass cos:-0.37759
Word:caché cos:-0.38774
Word:a-grade cos:-0.09584
Word:chhang cos:-0.34575
Word:cromwell cos:0.44450
Word:mansehra cos:-0.33907
Word:pasrur cos:-0.44574
Word:moundbuilders cos:-0.39437
Word:3,333 cos:-0.40116
Word:calathea cos:-0.38280
Word:kep cos:-0.32114
Word:onecare cos:-0.19679
Word:ecotopia cos:-0.41388
Word:eastern-european cos:-0.40630
Word:prahran cos:-0.07941
Word:arcticus cos:-0.07609
Word:disambiguation cos:0.42680
Word:nationalrat cos:-0.22894
Word:kozberg cos:-0.38182
Word:caneira cos:-0.11156
Word:bastrop cos:-0.20874
Word:schmidti cos:-0.33146
Word:lupane cos:-0.45654
Word:numata cos:-0.28178
Word:full-face cos:-0.10208
Word:malade cos:0.04182
Word:threeboot cos:-0.11715
Word:kishoreganj cos:-0.33448
Word:dispatched cos:0.11348
Word:breteche cos:-0.24022
Word:subdirector cos:-0.31803
Word:medeiros cos:-0.07774
Word:mansbach cos:-0.19224
Word:matchwinning cos:-0.20823
Word:airpower cos:-0.20808
Word:åse cos:-0.32160
Word:well-suited cos:-0.41087
Word:lefèbvre cos:-0.42170
Word:268.2 cos:-0.42668
Word:행정동 cos:-0.22007
Word:drvar cos:-0.30832
Word:cavalleria cos:-0.07487
Word:exemplary cos:0.10973
Word:petromatrix cos:-0.14780
Word:48-billion cos:-0.24349
Word:euro100 cos:-0.22934
Word:garage cos:0.17816
Word:lisan cos:-0.08650
Word:252.2 cos:-0.27754
Word:over-65 cos:-0.40911
Word:9,750 cos:-0.28095
Word:okanagan cos:0.02006
Word:ululating cos:-0.32739
Word:class cos:0.48664
Word:placentals cos:-0.19839
Word:nouvelle-france cos:-0.20227
Word:bretonne cos:-0.23597
Word:baileyi cos:-0.24177
Word:junior cos:0.48298
Word:nosology cos:-0.47923
Word:osteen cos:-0.00621
Word:74.99 cos:-0.21312
Word:veld cos:-0.22756
Word:205th cos:-0.00793
Word:génie cos:-0.13488
Word:attock cos:-0.18332
Word:temuri cos:-0.23614
Word:sixth-rate cos:0.03355
Word:euro33 cos:-0.06369
Word:thüringen cos:-0.15559
Word:fusiformis cos:-0.19979
Word:kullman cos:-0.17092
Word:shvydkoi cos:-0.34213
Word:dishman cos:-0.15137
Word:275,000 cos:-0.26023
Word:xiii cos:0.41559
Word:carleton cos:0.30861
Word:salammbô cos:-0.24553
Word:zweig cos:-0.18434
Word:nainital cos:-0.34803
Word:unsafeguarded cos:-0.16699
Word:tamilnadu cos:-0.36414
Word:rigged cos:-0.10968
Word:d'infanterie cos:0.11643
Word:esdp cos:-0.12871
Word:ferrugineus cos:-0.21551
Word:colts cos:0.36339
Word:euro76 cos:-0.01652
Word:brazilian-born cos:-0.17312
Word:chāh cos:0.21117
Word:yiddish-speaking cos:-0.32839
Word:sonenshine cos:-0.27772
Word:andhra cos:-0.14679
Word:adjumani cos:-0.46018
Word:iesc cos:-0.40193
Word:contactar cos:-0.07200
Word:departament cos:-0.28266
Word:150.5 cos:-0.41573
Word:carmarthen cos:0.19944
Word:kormoran cos:0.06648
Word:206.5 cos:-0.21886
Word:boersen cos:-0.23452
Word:nagaur cos:-0.17673
Word:177.9 cos:-0.34310
Word:prosper cos:-0.07955
Word:sinicized cos:-0.37887
Word:muhri cos:-0.47179
Word:bodyguard cos:0.43962
Word:berrien cos:-0.05438
Word:13-a cos:-0.13641
Word:janahi cos:-0.26140
Word:graffanino cos:0.02985
Word:rwa cos:-0.08185
Word:resta cos:-0.14674
Word:english-born cos:0.16491
Word:americanum cos:-0.17980
Word:shoah cos:-0.00591
Word:yepremian cos:-0.30523
Word:gujranwala cos:-0.20148
Word:nyamilandu cos:-0.12821
Word:marine cos:0.41383
Word:kushtia cos:-0.36822
Word:22.7-billion cos:-0.18209
Word:rethinks cos:-0.28684
Word:euro29 cos:-0.02893
Word:templin cos:-0.22264
Word:kebele cos:-0.40881
Word:mycena cos:-0.10772
Word:l'observateur cos:-0.35386
Word:vitamin cos:0.04834
Word:oic cos:-0.11072
Word:stilton cos:-0.12523
Word:soviet-occupied cos:-0.27679
Word:kurowska cos:-0.43095
Word:bma cos:-0.18584
Word:qualité cos:-0.11668
Word:,340 cos:-0.20069
Word:hasan cos:0.08381
Word:dispels cos:-0.30847
Word:recognisably cos:-0.33889
Word:bitamazire cos:-0.46497
Word:euro220 cos:-0.17925
Word:hectares cos:-0.15626
Word:sartoris cos:-0.15965
Word:,930 cos:-0.25859
Word:.149 cos:-0.15358
Word:holim cos:-0.30069
Word:surobi cos:-0.45047
Word:physalis cos:-0.34314
Word:6th cos:0.37766
Word:fz cos:-0.16659
Word:memecylon cos:-0.36243
Word:americorps cos:-0.08113
Word:x29 cos:-0.07788
Word:90-centimeter cos:-0.22143
Word:15:42 cos:-0.12915
Word:6,000,000 cos:-0.24161
Word:mi-4 cos:-0.11788
Word:slovácko cos:-0.11774
Word:volontaire cos:-0.14812
Word:acolytes cos:-0.00893
Word:chimed cos:-0.12174
Word:basionym cos:-0.13673
Word:kisoro cos:-0.47110
Word:sächsischen cos:-0.18955
Word:gorelick cos:0.00230
Word:sheetmetal cos:-0.24103
Word:noncommissioned cos:0.21593
Word:rothemund cos:-0.19948
Word:19:27 cos:-0.18808
Word:assembleia cos:-0.25859
Word:bamahane cos:-0.23378
Word:jeune cos:-0.01118
Word:schmall cos:-0.21254
Word:1,895 cos:-0.41203
Word:burung cos:-0.51557
Word:tburrglobe.com cos:-0.08084
Word:hispalis cos:-0.34277
Word:aventure cos:-0.21240
Word:uj cos:-0.13084
Word:chronique cos:-0.03026
Word:98 cos:0.15297
Word:ddr-liga cos:0.01952
Word:andal cos:0.06981
Word:oshakati cos:-0.45824
Word:shundi cos:-0.46227
Word:wexner cos:0.12025
Word:pepfar cos:-0.13700
Word:cushwa cos:-0.19335
Word:obtusifolia cos:-0.25867
Word:naumachia cos:-0.30562
Word:législatif cos:0.04372
Word:chevrons cos:0.19478
Word:lydd cos:-0.23197
Word:euro16 cos:0.00865
Word:brattleboro cos:-0.29716
Word:psychotria cos:-0.37296
Word:spinello cos:-0.13527
Word:itma cos:-0.32306
Word:yemen cos:0.01728
Word:avissawella cos:-0.52341
Word:84-year-old cos:-0.28548
Word:international cos:0.29186
Word:1,500-acre cos:-0.20871
Word:2945 cos:-0.21254
Word:idflieg cos:0.03006
Word:halabi cos:0.17253
Word:chittoor cos:-0.37318
Word:euro860 cos:-0.17187
Word:obojeni cos:-0.37133
Word:turbostar cos:-0.08879
Word:146.6 cos:-0.28824
Word:kamrup cos:-0.22451
Word:c-in-c cos:-0.06222
Word:conscientious cos:-0.09515
Word:450-page cos:-0.31832
Word:airlanding cos:0.02606
Word:tending cos:-0.08866
Word:grotte cos:-0.28172
Word:ebri cos:-0.40090
Word:régiment cos:0.17224
Word:special cos:0.42765
Word:tofino cos:-0.36625
Word:accommodates cos:-0.24567
Word:bayadère cos:-0.33363
Word:euro850 cos:-0.21986
Word:rs cos:0.10613
Word:artbook cos:-0.07136
Word:hospitalizations cos:-0.29433
Word:mahagi cos:-0.40803
Word:phomopsis cos:-0.32350
Word:305,000 cos:-0.51592
Word:britto cos:-0.21255
Word:fildes cos:-0.06513
Word:1920x1080 cos:-0.18883
Word:nuphar cos:-0.26554
Word:gourgeon cos:-0.10876
Word:german-jewish cos:-0.12072
Word:alize cos:-0.09272
Word:conseil cos:0.03545
Word:kinloss cos:0.07598
Word:modernised cos:-0.18496
Word:sportul cos:-0.27496
Word:rm80 cos:-0.36819
Word:gowd-e cos:-0.16427
Word:sergeants cos:0.33677
Word:nellore cos:-0.30092
Word:euro223 cos:-0.17097
Word:melich cos:-0.19084
Word:attarabulsi cos:-0.21223
Word:euro532 cos:-0.33102
Word:uncertainties cos:-0.06990
Word:neuroeconomics cos:-0.57757
Word:général cos:0.14926
Word:korogocho cos:-0.52017
Word:smilow cos:-0.28412
Word:35,400 cos:-0.36953
Word:carrott cos:-0.10924
Word:cazadores cos:-0.07240
Word:detective cos:0.49708
Word:slavi cos:-0.31540
Word:8th cos:0.34034
Word:dhanabalan cos:-0.11576
Word:megale cos:-0.36771
Word:moghadam cos:-0.46558
Word:143.1 cos:-0.34184
Word:grass cos:0.05330
Word:bacliff cos:-0.55371
Word:yatsu cos:-0.30016
Word:dun cos:0.13483
Word:przegląd cos:-0.29432
Word:beilschmiedia cos:-0.30931
Word:17:09 cos:-0.15095
Word:leidy cos:0.00261
Word:said. cos:-0.38720
Word:olvidados cos:-0.17235
Word:surp cos:-0.22739
Word:sulayman cos:0.06653
Word:hibakusha cos:-0.25068
Word:,570 cos:-0.20888
Word:cpaffc cos:0.03653
Word:khadziyeva cos:-0.41333
Word:labios cos:-0.16135
Word:hawija cos:-0.24060
Word:newpark cos:-0.32215
Word:rusticana cos:-0.08484
Word:idra cos:-0.36452
Word:tiruchirapalli cos:-0.16506
Word:micrantha cos:-0.21359
Word:245.2 cos:-0.38021
Word:etymon cos:-0.25756
Word:chulu cos:-0.40112
Word:euro245 cos:-0.23847
Word:neyshabur cos:-0.31960
Word:auratonota cos:-0.38682
Word:ironworker cos:-0.14115
Word:squadrons cos:0.27155
Word:khalid cos:0.14190
Word:stanback cos:-0.08985
Word:extensiva cos:-0.29826
Word:animatronics cos:-0.32898
Word:17:37 cos:-0.23981
Word:aytes cos:-0.39347
Word:raphoe cos:-0.05406
Word:guolin cos:-0.25743
Word:cobblestones cos:-0.28698
Word:bethlem cos:-0.02007
Word:l'église cos:-0.20697
Word:carnivora cos:0.03153
Word:shaikh cos:0.12612
Word:conditionally cos:-0.22140
Word:seiyu cos:-0.02870
Word:162.7 cos:-0.30822
Word:7-a cos:-0.03534
Word:ramic cos:-0.28683
Word:aultman cos:-0.35209
Word:c cos:0.38255
Word:trichilia cos:-0.32560
Word:gresham cos:0.14837
Word:albigularis cos:-0.17706
Word:lamberty cos:-0.22791
Word:325-pound cos:-0.31129
Word:kinyua cos:-0.20724
Word:nepsac cos:-0.04041
Word:woessner cos:-0.19449
Word:drummondii cos:-0.19273
Word:cool-headed cos:-0.30388
Word:sartorially cos:-0.46424
Word:vatica cos:-0.33896
Word:réveillon cos:-0.27523
Word:wintour cos:0.04267
Word:nord-ouest cos:-0.40275
Word:4th cos:0.46338
Word:obonyo cos:-0.30229
Word:velimir cos:-0.22338
Word:costruzioni cos:-0.32893
Word:mascotte cos:-0.19188
Word:division cos:0.48579
Word:cookstown cos:-0.28937
Word:lawhon cos:-0.39795
Word:seater cos:0.10474
Word:euro26 cos:-0.02264
Word:abelia cos:-0.29853
Word:margheriti cos:-0.14870
Word:euro189 cos:-0.22877
Word:fcfa cos:-0.18941
Word:bonpuli cos:-0.43592
Word:huaraz cos:-0.42275
Word:nofs cos:-0.38264
Word:kn cos:0.03113
Word:775,000 cos:-0.32976
Word:barbecued cos:-0.20388
Word:steht cos:-0.38337
Word:nervousness cos:-0.01425
Word:duplin cos:-0.24054
Word:3.6-million cos:-0.23968
Word:d.e.b.s. cos:-0.26447
Word:soifer cos:0.17874
Word:dca cos:0.03965
Word:sias cos:-0.17664
Word:kellen cos:0.11929
Word:,830 cos:-0.25505
Word:friendswood cos:-0.39112
Word:eulimella cos:-0.27319
Word:45402 cos:-0.14091
Word:hort cos:-0.06597
Word:aspatria cos:-0.38745
Word:237.7 cos:-0.35598
Word:under-powered cos:-0.43215
Word:erinaceus cos:-0.15677
Word:đ cos:-0.38694
Word:chuadanga cos:-0.55924
Word:daladier cos:-0.11576
Word:hoyte cos:-0.17107
Word:pupi cos:-0.21455
Word:dlya cos:-0.27761
Word:engert cos:-0.27684
Word:ex-military cos:-0.09012
Word:51,200 cos:-0.26071
Word:gymnasien cos:-0.41048
Word:mision cos:-0.29758
Word:farole cos:-0.34371
Word:beyt-e cos:-0.14695
Word:sarro cos:-0.36885
Word:empezar cos:-0.21117
Word:euro270 cos:-0.15929
Word:rank cos:0.58039
Word:47-point cos:-0.25732
Word:balie cos:-0.20308
Word:teilifís cos:-0.18515
Word:euro530 cos:-0.21631
Word:scolaire cos:-0.21117
Word:civitatis cos:-0.19447
Word:antisemite cos:-0.13126
Word:model-driven cos:-0.38316
Word:muntemba cos:-0.28803
Word:frechaut cos:-0.20592
Word:km2 cos:-0.11550
Word:ubeidi cos:-0.51369
Word:verhoeven cos:-0.05294
Word:grieder cos:-0.37834
Word:neutralisation cos:-0.32289
Word:fook cos:0.15889
Word:1985 cos:0.46355
Word:ropati cos:-0.16763
Word:mentzelia cos:-0.29571
Word:wandervogel cos:-0.38339
Word:thoreson cos:-0.39278
Word:bt500 cos:-0.39688
Word:1.25-billion cos:-0.20003
Word:soseki cos:-0.36387
Word:zhenyuan cos:-0.08449
Word:mozdok cos:-0.24022
Word:cowhands cos:-0.37241
Word:wagga cos:-0.11757
Word:89-page cos:-0.34113
Word:ahl cos:0.24803
Word:sbv cos:-0.21417
Word:bolinao cos:-0.35486
Word:10,000-strong cos:-0.27483
Word:mostro cos:-0.40633
Word:,470 cos:-0.23067
Word:http://www.energy.gov cos:-0.19516
Word:400.5 cos:-0.33948
Word:suherman cos:-0.24150
Word:ward cos:0.37481
Word:kerstin cos:-0.25833
Word:anthropomorphize cos:-0.38811
Word:nichd cos:-0.30223
Word:matsen cos:-0.11957
Word:kuklick cos:-0.23688
Word:grotta cos:-0.25214
Word:172.7 cos:-0.43308
Word:gachot cos:-0.15991
Word:mbuya cos:-0.44885
Word:17,400 cos:-0.39411
Word:truzzi cos:-0.38023
Word:900-pound cos:-0.26458
Word:9,000-square cos:-0.27720
Word:konteska cos:-0.39295
Word:euro98 cos:-0.13766
Word:brammertz cos:-0.03717
Word:howmeh-ye cos:-0.30583
Word:bruère cos:-0.23337
Word:280,000 cos:-0.32589
Word:goeran cos:-0.22750
Word:longstaff cos:-0.08899
Word:dkk cos:-0.19694
Word:afpentertainment cos:-0.23345
Word:macrozamia cos:-0.27455
Word:despoil cos:-0.41510
Word:lindzen cos:-0.18480
Word:rexam cos:-0.16636
Word:thrissur cos:-0.27166
Word:7th cos:0.36432
Word:carwardine cos:-0.05617
Word:jewry cos:-0.06195
Word:jan.-aug cos:-0.03637
Word:valeur cos:-0.14476
Word:espejo cos:-0.10766
Word:nephelomys cos:-0.23371
Word:re-thinking cos:-0.38328
Word:coopt cos:-0.39441
Word:jarwani cos:-0.33657
Word:comprehensively cos:-0.33289
Word:1.0001 cos:-0.15197
Word:kramers cos:-0.23383
Word:imagers cos:-0.32931
Word:hoby cos:0.04775
Word:cortright cos:-0.31087
Word:lanterman cos:-0.18124
Word:leach cos:0.14240
Word:ecclesiae cos:0.08777
Word:allocates cos:-0.24840
Word:syzygium cos:-0.16134
Word:17:53 cos:-0.33972
Word:shahidullah cos:-0.21853
Word:almontaser cos:-0.14818
Word:áth cos:-0.14049
Word:sustinet cos:-0.26451
Word:fungicidal cos:-0.30526
Word:146.7 cos:-0.30677
Word:ruth cos:0.34469
Word:sq. cos:-0.14895
Word:budennovsk cos:-0.21269
Word:escalade cos:-0.01623
Word:northallerton cos:-0.17447
Word:mathivanan cos:-0.26902
Word:binaries cos:-0.18107
Word:herald-leader cos:-0.17747
Word:ebele cos:-0.19503
Word:roug cos:-0.12755
Word:winnik cos:-0.37301
Word:pre-1900 cos:-0.44833
Word:1,500-square cos:-0.19562
Word:rcmp cos:0.27092
Word:cherchez cos:-0.24998
Word:hovis cos:0.03955
Word:five cos:0.34782
Word:tarnawsky cos:-0.22074
Word:beguin cos:-0.24896
Word:enfant cos:0.04830
Word:navale cos:-0.15547
Word:pps. cos:-0.21995
Word:spruce-fir cos:-0.16505
Word:jerseyans cos:-0.27478
Word:ahnenerbe cos:-0.05817
Word:cocha cos:-0.30587
Word:kuge cos:-0.04565
Word:pembroke cos:0.34680
Word:hian cos:0.14959
Word:clayton cos:0.41439
Word:edu cos:0.06877
Word:,720 cos:-0.23253
Word:bhimavaram cos:-0.43494
Word:lieutenants cos:0.31324
Word:bobby cos:0.57000
Word:pobladores cos:-0.07880
Word:autarkic cos:-0.50140
Word:airmanship cos:-0.07421
Word:promesse cos:-0.13351
Word:fábrica cos:0.00153
Word:regimes cos:-0.05518
Word:irish-american cos:0.07980
Word:politial cos:-0.45791
Word:preußischen cos:-0.13476
Word:warrnambool cos:-0.05200
Word:ramcharan cos:-0.19612
Word:15:09 cos:-0.35063
Word:hebeloma cos:-0.23627
Word:euro53 cos:-0.20078
Word:takawira cos:-0.10452
Word:cessnock cos:-0.17963
Word:re-roofed cos:-0.29909
Word:conduite cos:-0.16229
Word:jtwc cos:0.13650
Word:cedula cos:0.02657
Word:citytv cos:-0.03889
Word:deber cos:-0.37748
Word:ill-prepared cos:-0.25022
Word:grandidieri cos:-0.34052
Word:shahrzad cos:-0.39338
Word:,15 cos:-0.26752
Word:jūryō cos:0.32179
Word:kreuter cos:-0.07648
Word:cuvieri cos:-0.28209
Word:anti-illegal cos:-0.37224
Word:bonefeld cos:-0.14389
Word:plagiobothrys cos:-0.43995
Word:roiphe cos:-0.15374
Word:nôtre cos:-0.09269
Word:cmac cos:-0.29834
Word:torrijos cos:0.11820
Word:euro43 cos:-0.13800
Word:5th cos:0.41731
Word:assures cos:-0.04482
Word:koebnick cos:-0.17306
Word:blassingame cos:-0.12044
Word:klaiber cos:-0.29369
Word:leper cos:-0.02785
Word:verifiers cos:-0.15690
Word:,120 cos:-0.23078
Word:jalgaon cos:-0.43622
Word:benacerraf cos:-0.16887
Word:shifta cos:-0.21519
Word:physiologically cos:-0.42855
Word:miwa cos:-0.13926
Word:infonet cos:-0.23764
Word:fotografia cos:-0.27999
Word:a.b cos:-0.09381
Word:250,000-square cos:-0.32962
Word:21,200 cos:-0.32295
Word:loven cos:-0.09657
Word:afrikaans-speaking cos:-0.31637
Word:cantores cos:-0.26250
Word:wolfowitz cos:0.13998
Word:acclimating cos:-0.44074
Word:post-impressionism cos:-0.18709
Word:public-use cos:-0.04643
Word:bt100 cos:-0.40788
Word:costaricensis cos:-0.23933
Word:nco cos:0.29432
Word:10a-9p cos:0.14656
Word:kannur cos:-0.31406
Word:makuuchi cos:0.22434
Word:breds cos:-0.24152
Word:stratigraphic cos:0.08639
Word:lasianthus cos:-0.22252
Word:wilayat cos:-0.28269
Word:ethopian cos:-0.26789
Word:pulchellus cos:-0.28321
Word:bouabre cos:-0.40498
Word:nz$ cos:-0.14850
Word:tatsunori cos:-0.18153
Word:ratnagiri cos:-0.33231
Word:siddhis cos:-0.07781
Word:15,750 cos:-0.24516
Word:times-news cos:-0.16607
Word:prachya cos:-0.38811
Word:otu cos:0.04121
Word:africa cos:0.17309
Word:golias cos:-0.16936
Word:18.80 cos:-0.11493
Word:alestra cos:-0.28019
Word:450m cos:-0.21158
Word:invader cos:0.17249
Word:euro950 cos:-0.14625
Word:zefiro cos:-0.26855
Word:taping cos:0.03149
Word:durham cos:0.42339
Word:maytas cos:-0.31327
Word:chartis cos:-0.26625
Word:dehradun cos:-0.19721
Word:landsea cos:-0.03331
Word:keokuk cos:-0.12547
Word:regimental cos:0.44676
Word:laureles cos:-0.21560
Word:steak cos:0.12190
Word:morum cos:-0.30623
Word:sun-herald cos:-0.02710
Word:pettoruti cos:-0.25872
Word:procureur cos:0.06646
Word:ostentation cos:-0.19749
Word:p500 cos:0.11255
Word:60-run cos:-0.15515
Word:beffa cos:-0.16583
Word:muhlegg cos:-0.21140
Word:sipi cos:-0.16286
Word:landsdowne cos:-0.17469
Word:sobibor cos:0.11624
Word:reflexion cos:-0.32447
Word:terminological cos:-0.16163
Word:cross-reactivity cos:-0.45657
Word:kryptonite cos:0.21383
Word:secretive cos:-0.10865
Word:marcelli cos:-0.24734
Word:chiew cos:-0.38196
Word:engelbrecht cos:0.01858
Word:yellamma cos:-0.25804
Word:cioffi cos:0.03074
Word:habilitated cos:-0.10961
Word:locution cos:-0.30405
Word:ligers cos:-0.37674
Word:rosendo cos:-0.26536
Word:scholer cos:-0.06860
Word:socialized cos:-0.25609
Word:sinofsky cos:-0.04960
Word:25,625 cos:0.15080
Word:middendorp cos:-0.19844
Word:low-relief cos:-0.48006
Word:waikoloa cos:-0.19030
Word:hảo cos:-0.22647
Word:snb cos:-0.06750
Word:3-33 cos:-0.25633
Word:high-mounted cos:-0.18065
Word:macswiney cos:-0.29745
Word:daikin cos:-0.12285
Word:thameslink cos:-0.03466
Word:mankind cos:0.16462
Word:ropewalk cos:-0.43509
Word:huish cos:-0.09057
Word:sdot cos:-0.22296
Word:proline cos:-0.15154
Word:trevally cos:-0.05134
Word:onyekachi cos:-0.06446
Word:12-step cos:-0.35138
Word:hollin cos:-0.10655
Word:yankin cos:-0.37510
Word:parseghian cos:0.03678
Word:1h cos:-0.07268
Word:freid cos:-0.38674
Word:appg cos:-0.30750
Word:tfe cos:-0.30677
Word:folktale cos:-0.07378
Word:mastino cos:-0.08180
Word:interphone cos:-0.49814
Word:29-under cos:-0.32614
Word:hudal cos:-0.19182
Word:silver-grey cos:-0.29282
Word:botak cos:-0.02123
Word:n'dre cos:-0.11973
Word:stoerner cos:0.05600
Word:eudokia cos:0.00999
Word:conconi cos:-0.19612
Word:volcanologists cos:-0.30651
Word:schoodic cos:-0.30177
Word:thanesar cos:-0.29085
Word:mejias cos:-0.27556
Word:primorska cos:-0.34141
Word:tribunician cos:0.26552
Word:coops cos:-0.40759
Word:sangeen cos:-0.20336
Word:hafsa cos:-0.20931
Word:mynach cos:-0.35828
Word:kalachakra cos:-0.23369
Word:bolognesi cos:-0.17175
Word:badlands cos:-0.00570
Word:brugmann cos:-0.10720
Word:cornstalk cos:-0.11765
Word:fraudsters cos:-0.12572
Word:psychobiology cos:-0.25038
Word:klon cos:-0.21267
Word:fieldston cos:-0.15188
Word:bosanquet cos:-0.03125
Word:mailand cos:-0.36795
Word:tiptree cos:0.29882
Word:powis cos:0.21995
Word:sibusiso cos:-0.21991
Word:sulfonamides cos:-0.30097
Word:garnets cos:-0.19533
Word:sino-american cos:-0.23801
Word:octopamine cos:-0.47348
Word:palestinain cos:-0.23398
Word:armentières cos:-0.25006
Word:raceland cos:-0.41052
Word:corluka cos:-0.07926
Word:steelton-highspire cos:-0.19840
Word:hippias cos:-0.15895
Word:mediates cos:-0.26300
Word:clavijo cos:-0.27260
Word:19-mile cos:-0.31770
Word:synchronic cos:-0.31798
Word:dharris cos:-0.05400
Word:shamuyarira cos:-0.03214
Word:kilchberg cos:-0.26143
Word:disagreed cos:0.00589
Word:terik cos:-0.16766
Word:skankin cos:-0.03453
Word:adv07 cos:-0.11133
Word:etchmiadzin cos:-0.04225
Word:kimbundu cos:-0.49153
Word:27,188 cos:0.22322
Word:draughting cos:-0.46913
Word:szlachecka cos:-0.54295
Word:forbush cos:-0.02368
Word:teleosts cos:-0.45006
Word:hangor cos:-0.24435
Word:balsams cos:-0.03612
Word:mechelen cos:-0.08853
Word:unconquerable cos:-0.04340
Word:sapphires cos:0.10582
Word:centrepieces cos:-0.41771
Word:golden-yellow cos:-0.27803
Word:apeiron cos:-0.26227
Word:mélodie cos:-0.16803
Word:periaqueductal cos:0.03088
Word:kupchan cos:0.09084
Word:bobos cos:-0.00375
Word:aza cos:-0.24999
Word:psycholinguistic cos:-0.51677
Word:janish cos:-0.32678
Word:disapproved cos:-0.13970
Word:stragglers cos:-0.05312
Word:colasanto cos:0.00819
Word:opisthorchis cos:-0.14258
Word:oriolidae cos:0.19749
Word:cibeles cos:-0.14399
Word:dilts cos:0.06580
Word:shinzō cos:-0.20766
Word:neutralization cos:-0.18441
Word:ouedec cos:-0.21446
Word:muthanna cos:-0.23925
Word:bodaken cos:-0.14252
Word:arslanian cos:-0.04929
Word:struzan cos:-0.32379
Word:czarina cos:-0.25186
Word:alcorta cos:-0.36978
Word:largeness cos:-0.26130
Word:dowry cos:0.08916
Word:3004 cos:-0.40403
Word:dvds cos:0.03063
Word:wakanda cos:-0.14946
Word:bhaag cos:-0.18978
Word:sonorant cos:-0.23524
Word:empathized cos:-0.23483
Word:seamed cos:-0.17091
Word:bellard cos:-0.25135
Word:folan cos:-0.12606
Word:zoodsma cos:-0.32534
Word:ajai cos:-0.17611
Word:30,750 cos:0.07060
Word:disinfected cos:-0.40534
Word:multi-sectoral cos:-0.45857
Word:zelophehad cos:-0.11390
Word:nishino cos:-0.08786
Word:wb cos:0.12507
Word:corby cos:-0.07542
Word:chohan cos:-0.15584
Word:augustow cos:-0.51754
Word:ph. cos:0.03522
Word:signum cos:-0.02965
Word:1992-97 cos:-0.00592
Word:ipekci cos:0.01509
Word:tardieu cos:-0.05484
Word:0.034 cos:-0.31041
Word:licavoli cos:0.00933
Word:batstone cos:0.07294
Word:railheads cos:-0.29378
Word:telemovie cos:0.01093
Word:zimbra cos:-0.17858
Word:shiu cos:-0.08802
Word:leffe cos:-0.08907
Word:agam cos:-0.29789
Word:mcmath cos:-0.19710
Word:interdepartmental cos:-0.30531
Word:subgrouping cos:-0.42945
Word:apuestas cos:0.04013
Word:durgin cos:-0.16908
Word:chie cos:-0.26959
Word:cottle cos:-0.07469
Word:40.73 cos:-0.44495
Word:dyslexic cos:-0.27612
Word:exoteric cos:-0.07696
Word:decurved cos:-0.15426
Word:charmy cos:-0.13148
Word:warsak cos:-0.27868
Word:naustdal cos:-0.59138
Word:corbier cos:-0.20280
Word:colloquium cos:-0.22287
Word:pinpricks cos:-0.17956
Word:2am cos:-0.10679
Word:majestie cos:-0.10818
Word:humbly cos:-0.06964
Word:nilgiri cos:-0.00700
Word:shawis cos:-0.46522
Word:baljit cos:-0.22784
Word:lhunpo cos:-0.41391
Word:trotternish cos:-0.29628
Word:kafa cos:-0.17764
Word:banwa cos:-0.29952
Word:paperwhite cos:-0.15340
Word:agder cos:-0.12767
Word:sidechain cos:-0.11812
Word:burbage cos:0.08187
Word:124.1 cos:-0.27302
Word:scanian cos:-0.02422
Word:53,750 cos:0.22869
Word:24-kilometer cos:-0.14274
Word:epoca cos:-0.06521
Word:in-hand cos:-0.21935
Word:volubility cos:-0.25010
Word:seminarium cos:-0.37427
Word:ciprofloxacin cos:-0.25261
Word:press-conference cos:-0.40652
Word:vulnerabilities cos:-0.10134
Word:persily cos:-0.16542
Word:torched cos:-0.10009
Word:020 cos:-0.15548
Word:xue cos:0.13127
Word:unshaven cos:-0.01449
Word:pharm.d cos:-0.08368
Word:showering cos:-0.17150
Word:frutos cos:-0.03052
Word:gaviria cos:-0.12260
Word:hornsey cos:-0.00506
Word:harba cos:-0.45952
